Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
FAM60A,1/44,0.00658573925675946,0.00846737904440502,0,0,232.023255813953,1165.41770566619,S100A7
SUMOylation of DNA replication proteins Homo sapiens R-HSA-4615885,1/44,0.00658573925675946,0.0425085559989175,0,0,232.023255813953,1165.41770566619,AURKB
ATM Signaling Network in Development and Disease  WP3878,1/45,0.00673507883011605,0.0103266051723852,0,0,226.738636363636,1133.78971911263,AURKB
Regulation of Microtubule Cytoskeleton WP2038,1/46,0.00688440344825683,0.0103266051723852,0,0,221.688888888889,1103.67742297314,AURKB
Keratinocyte Activation in Psoriatic Arthritis,1/47,0.00703371311091952,0.00981953749010887,0,0,216.858695652174,1074.97734402388,S100A7
XMD11-50,1/47,0.00703371311091952,0.0389858524127425,0,0,216.858695652174,1074.97734402388,AURKB
MRPL38,1/48,0.0071830078183245,0.00858465249850748,0,0,212.234042553192,1047.59510101556,S100A7
GSK429286A,1/48,0.0071830078183245,0.0389858524127425,0,0,212.234042553192,1047.59510101556,AURKB
Proteins Involved in Hodgkin Lymphoma,1/50,0.00748155237341628,0.00981953749010887,0,0,203.551020408163,996.446357764973,AURKB
PLK1 knockdown 98 GSE27869,2/300,0.000666082804060468,0.00599474523654421,0,0,132.208053691275,966.982471333147,AURKB;S100A7
FGFR1 knockdown 94 GSE27869,2/300,0.000666082804060468,0.0139877388852698,0,0,132.208053691275,966.982471333147,AURKB;S100A7
SCH772984,1/52,0.0077800371147531,0.0389858524127425,0,0,195.549019607843,949.624009021504,AURKB
Proteins Involved in Psoriasis,1/59,0.00882426274230812,0.0109005598581453,0,0,171.887931034483,813.072923866346,S100A7
XMD-12,1/59,0.00882426274230812,0.0389858524127425,0,0,171.887931034483,813.072923866346,AURKB
Validated targets of C-MYC transcriptional repression Homo sapiens 6bbdafa6-6196-11e5-8ac5-06603eb7f303,1/63,0.00942063422116617,0.00942063422116617,0,0,160.766129032258,749.950337703132,S100A7
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1 Homo sapiens R-HSA-174178,1/71,0.0106126597969387,0.0425085559989175,0,0,142.335714285714,647.016548147989,AURKB
Myc repressed pathway,1/73,0.010910516765724,0.0229305246420884,0,0,138.368055555556,625.150765081551,S100A7
AURKB,1/77,0.0115060514233315,0.020410415306419,0,0,131.059210526316,585.163932462128,AURKB
XMD13-2,1/77,0.0115060514233315,0.0389858524127425,0,0,131.059210526316,585.163932462128,AURKB
TBC1D22B,1/79,0.0118037291244742,0.0124980661317962,0,0,127.685897435897,566.841082547516,S100A7
APC/C-mediated degradation of cell cycle proteins,1/82,0.012250133655514,0.0229305246420884,0,0,122.938271604938,541.201125183315,AURKB
Barasertib,1/85,0.0126964037761181,0.0389858524127425,0,0,118.529761904762,517.552677869987,AURKB
APC/C-mediated degradation of cell cycle proteins Homo sapiens R-HSA-174143,1/85,0.0126964037761181,0.0425085559989175,0,0,118.529761904762,517.552677869987,AURKB
Regulation of mitotic cell cycle Homo sapiens R-HSA-453276,1/85,0.0126964037761181,0.0425085559989175,0,0,118.529761904762,517.552677869987,AURKB
GW843682X,1/89,0.0132912215554317,0.0389858524127425,0,0,113.119318181818,488.749151226804,AURKB
Vemurafenib,1/89,0.0132912215554317,0.0389858524127425,0,0,113.119318181818,488.749151226804,AURKB
Regulation of TP53 Activity through Phosphorylation Homo sapiens R-HSA-6804756,1/89,0.0132912215554317,0.0425085559989175,0,0,113.119318181818,488.749151226804,AURKB
ZM-447439,1/91,0.0135885408650015,0.0389858524127425,0,0,110.594444444444,475.393363077025,AURKB
WZ4003,1/92,0.0137371781268084,0.0389858524127425,0,0,109.373626373626,468.955762379618,AURKB
IL-17 signaling pathway,1/94,0.0140344078673636,0.0140344078673636,0,0,107.010752688172,456.533902379078,S100A7
M phase pathway,1/96,0.0143315779013053,0.0229305246420884,0,0,104.747368421053,444.682948504716,AURKB
MLN8054,1/96,0.0143315779013053,0.0389858524127425,0,0,104.747368421053,444.682948504716,AURKB
SUMO E3 ligases SUMOylate target proteins Homo sapiens R-HSA-3108232,1/96,0.0143315779013053,0.0425085559989175,0,0,104.747368421053,444.682948504716,AURKB
WZ4002,1/98,0.0146286882376348,0.0389858524127425,0,0,102.577319587629,433.365657403815,AURKB
Resolution of Sister Chromatid Cohesion Homo sapiens R-HSA-2500257,1/99,0.0147772210176025,0.0425085559989175,0,0,101.525510204082,427.896360088283,AURKB
ZG-10,1/100,0.0149257388776811,0.0389858524127425,0,0,100.494949494949,422.54790984855,AURKB
GW-5074,1/101,0.015074241816001,0.0389858524127425,0,0,99.485,417.316477742939,AURKB
SUMOylation Homo sapiens R-HSA-2990846,1/101,0.015074241816001,0.0425085559989175,0,0,99.485,417.316477742939,AURKB
HCC827 Unclassified Unclassified 30609389,2/586,0.00252110170323664,0.0226899153291297,0,0,66.4828767123288,397.770993084559,SPRR1B;S100A7
PRKG1,1/106,0.0158165326939135,0.020410415306419,0,0,94.7238095238095,392.791174820312,AURKB
Sorafenib,1/106,0.0158165326939135,0.0389858524127425,0,0,94.7238095238095,392.791174820312,AURKB
PLX-4720,1/106,0.0158165326939135,0.0389858524127425,0,0,94.7238095238095,392.791174820312,AURKB
Mitotic Prometaphase Homo sapiens R-HSA-68877,1/107,0.015964946111592,0.0425085559989175,0,0,93.8254716981132,388.189737468532,AURKB
RHO GTPases Activate Formins Homo sapiens R-HSA-5663220,1/114,0.017003422399567,0.0425085559989175,0,0,87.9823008849557,358.469863882135,AURKB
KIN001-111,1/121,0.0180411679776536,0.0389858524127425,0,0,82.8208333333333,332.533846973471,AURKB
RO-3306,1/122,0.0181893577110546,0.0389858524127425,0,0,82.1322314049587,329.097165436044,AURKB
AG1478,1/123,0.0183375325383863,0.0389858524127425,0,0,81.4549180327869,325.72236291721,AURKB
JWE-035,1/128,0.0190781830955974,0.0389858524127425,0,0,78.2283464566929,309.722439300295,AURKB
CHEK1,1/137,0.020410415306419,0.020410415306419,0,0,73.0183823529412,284.16636544137,AURKB
Regulation of TP53 Activity Homo sapiens R-HSA-5633007,1/151,0.0224803784730513,0.0462048201263479,0,0,66.1566666666667,251.071987207334,AURKB
HG-5-113-01,1/157,0.0233666122801722,0.0390994420556695,0,0,63.5929487179487,238.883547864301,AURKB
XMD16-144,1/160,0.0238095282738951,0.0390994420556695,0,0,62.3836477987421,233.169453357892,AURKB
Separation of Sister Chromatids Homo sapiens R-HSA-2467813,1/162,0.0241047312067291,0.0462048201263479,0,0,61.6024844720497,229.490639475504,AURKB
BI-D1870,1/164,0.0243998746261949,0.0390994420556695,0,0,60.840490797546,225.911528435685,AURKB
GSK1059615,1/165,0.024547424021947,0.0390994420556695,0,0,60.4664634146341,224.158150565852,AURKB
MRT67307,1/172,0.0255798533173424,0.0390994420556695,0,0,57.9707602339181,212.517921066091,AURKB
Mitotic Anaphase Homo sapiens R-HSA-68882,1/173,0.0257272837290325,0.0462048201263479,0,0,57.6308139534884,210.94049117879,AURKB
Mitotic Metaphase and Anaphase Homo sapiens R-HSA-2555396,1/174,0.0258746992707548,0.0462048201263479,0,0,57.2947976878613,209.383245140563,AURKB
Proteins Involved in Glioblastoma,1/178,0.0264642127545926,0.0292499193603392,0,0,55.9887005649718,203.348828445737,AURKB
Palbociclib,1/184,0.0273480370173138,0.0390994420556695,0,0,54.1366120218579,194.843650135516,AURKB
BMS-536924,1/184,0.0273480370173138,0.0390994420556695,0,0,54.1366120218579,194.843650135516,AURKB
KIN001-220,1/190,0.0282313262560911,0.0390994420556695,0,0,52.4021164021164,186.935278100007,AURKB
Dabrafenib,1/195,0.028966992043161,0.0390994420556695,0,0,51.0386597938144,180.758430895387,AURKB
WH-4-023,1/198,0.0294082132651383,0.0390994420556695,0,0,50.253807106599,177.219110054989,AURKB
G2-M Checkpoint,1/200,0.0297022864925554,0.0297022864925554,0,0,49.7437185929648,174.925340916176,AURKB
E2F Targets,1/200,0.0297022864925554,0.0297022864925554,0,0,49.7437185929648,174.925340916176,AURKB
Proteins Involved in Atherosclerosis,1/200,0.0297022864925554,0.0311874008171832,0,0,49.7437185929648,174.925340916176,S100A7
Crizotinib,1/200,0.0297022864925554,0.0390994420556695,0,0,49.7437185929648,174.925340916176,AURKB
Baricitinib,1/203,0.0301432849570314,0.0390994420556695,0,0,48.9975247524753,171.579194182258,AURKB
DNA replication,1/207,0.03073107504585,0.0409747667278,0,0,48.0364077669903,167.285873507036,AURKB
AZD4547,1/209,0.0310248810170242,0.0390994420556695,0,0,47.5697115384615,165.207980478665,AURKB
HG-6-64-01,1/210,0.0311717617404864,0.0390994420556695,0,0,47.3397129186603,164.18561216021,AURKB
HG-9-91-01,1/213,0.03161231485352,0.0390994420556695,0,0,46.6627358490566,161.182819911412,AURKB
CP466722,1/228,0.0338130773831303,0.0404410910889523,0,0,43.5462555066079,147.487145751564,AURKB
R406,1/234,0.0346924480209846,0.0404410910889523,0,0,42.412017167382,142.556682387331,AURKB
NVP-TAE684,1/238,0.0352783986095116,0.0404410910889523,0,0,41.6877637130802,139.424077066813,AURKB
AZD 5438,1/258,0.0382045952800095,0.0427527613847725,0,0,38.4046692607004,125.383544052031,AURKB
HG-14-10-04,1/268,0.0396654722164473,0.0433552835854192,0,0,36.9475655430712,119.239924556387,AURKB
BX-912,1/285,0.0421455669367503,0.0446213882820531,0,0,34.705985915493,109.900869497183,AURKB
THZ1,1/289,0.0427284974607588,0.0446213882820531,0,0,34.2170138888889,107.882453324528,AURKB
OTSSP167,1/298,0.0440392263459858,0.0446213882820531,0,0,33.1649831649832,103.563448361694,AURKB
PBK human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
SLK human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,SPRR1B
CHEK1 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
CHEK2 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
EPHB3 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,SPRR1B
SRPK1 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
AURKA human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
VRK1 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
TTK human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
CDK1 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
BUB1 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
NEK2 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
BUB1B human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
CDC7 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
WEE1 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
MASTL human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
CSNK2A1 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
MELK human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
CSNK2A2 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
GSG2 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
RIPK4 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,SPRR1B
PKMYT1 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
PLK1 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
PLK4 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,AURKB
PTK6 human kinase ARCHS4 coexpression,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,SPRR1B
IGF1R knockout 151 GSE32936,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
BRD4 knockdown 223 GSE50865,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
MAP2K1 knockdown 134 GSE31534,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
ERBB3 knockdown 65 GSE19921,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
AURKA druginhibition 196 GSE57810,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
ABL1 knockdown 100 GSE27869,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,S100A7
AURKB knockdown 92 GSE27869,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
PIK3CG knockdown 96 GSE27869,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,S100A7
CDK7 knockdown 124 GSE27869,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,S100A7
RET knockout 270 GSE32093,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
HIPK2 knockdown 106 GSE27869,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,S100A7
GSK3A knockdown 207 GDS4305,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,S100A7
KSR1 knockout 126 GSE28228,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
EPHA4 knockout 227 GSE34430,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
CDK8 knockdown 161 GSE38061,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
PRKCA knockdown 118 GSE27869,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,SPRR1B
SYK knockdown 190 GSE54065,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
SYK knockdown 279 GDS3609,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,SPRR1B
CDK5 knockdown 99 GSE27869,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,S100A7
ABL1 druginhibition 77 GSE24493,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,SPRR1B
CHEK1 knockdown 136 GSE31534,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,S100A7
JAK1 druginhibition 165 GSE38335,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
CDK7 knockdown 138 GSE31534,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,S100A7
JAK2 druginhibition 167 GSE38335,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
MAP2K1 knockdown 134 GSE31534,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,S100A7
RET druginhibition 184 GSE49414,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
ATM knockdown 113 GSE27869,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
MAPK1 knockdown 112 GSE27869,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
ABL1 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
GPR156 knockdown 96h PC3,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,SPRR1B
NR5A2 knockdown 96h HT29,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
CDK11B knockdown 96h HT29,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
GPR179 knockdown 96h PC3,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
SRPK1 knockdown 96h PC3,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
CDK7 knockdown 96h HT29,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
OPN4 knockdown 96h HT29,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
MYLK2 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
AURKB knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
RARG knockdown 96h HA1E,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,S100A7
GPR78 knockdown 96h PC3,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
CHUK knockdown 96h HT29,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
GPR84 knockdown 96h PC3,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
CIT knockdown 96h HT29,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,SPRR1B
PKN2 knockdown 96h A549,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
BUB1B knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
PLK2 knockdown 96h A549,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
NR2C1 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
CSNK1D knockdown 96h HT29,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
CCRL2 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
NR2F1 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
CSNK1G3 knockdown 96h HT29,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,SPRR1B
NR2F6 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
NR4A2 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
PRKDC knockdown 96h A549,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
CDK6 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
CDKL4 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
CFTR knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
CHEK1 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
OXER1 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
CHRM1 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
GPR34 knockdown 96h HA1E,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,S100A7
ESR1 knockdown 96h HT29,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
CSNK1A1 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
PDGFRA knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
PDK1 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
ROCK2 knockdown 96h A549,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
RORC knockdown 96h A549,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
DYRK3 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
PKN2 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
GPR125 knockdown 96h A549,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
MAP2K6 knockdown 96h PC3,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
ELTD1 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
PPARG knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
EPHA3 knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
PRKACB knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
GABRG1 knockdown 96h HT29,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
PRKCA knockdown 96h A375,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
RPS6KA2 knockdown 96h HT29,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,AURKB
