!Series_relation	"BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA225522"
!Series_relation	"SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP032343"

!Sample_title	"Patient#1_CL#1"	"Patient#1_SC#1"	"Patient#2_SC#1"	"Patient#3_SC#1"	"Patient#4_SC#2"	"Patient#5_SC#1"	"Patient#2_CL#1"	"Patient#5_SC#2"	"Patient#6_CL#1"	"Patient#6_SC#1"	"Patient#7_CL#1"	"Patient#7_SC#2"	"Patient#8_SC#1"	"Patient#9_CL#1"	"Patient#9_SC#1"	"Patient#7_SC#1"	"Patient#5_CL#1"	"Patient#4_SC#1"	"Patient#4_CL#3"	"Patient#4_CL#1"	"Patient#4_CL#2"	"Patient#3_CL#1"	"Patient#10_SC#1"	"Patient#10_CL#1"	"Patient#10_CL#2"	"Patient#8_CL#1"	"Patient#8_CL#2"	"Patient#8_SC#2"	"Patient#8_SC#3"
!Sample_geo_accession	"GSM1253375"	"GSM1253376"	"GSM1253377"	"GSM1253378"	"GSM1253379"	"GSM1253380"	"GSM1253381"	"GSM1253382"	"GSM1253383"	"GSM1253384"	"GSM1253385"	"GSM1253386"	"GSM1253387"	"GSM1253388"	"GSM1253389"	"GSM1253390"	"GSM1253391"	"GSM1253392"	"GSM1253393"	"GSM1253394"	"GSM1253395"	"GSM1253396"	"GSM1253397"	"GSM1253398"	"GSM1253399"	"GSM1253400"	"GSM1253401"	"GSM1253402"	"GSM1253403"
!Sample_status	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"	"Public on Jul 11 2014"
!Sample_submission_date	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"	"Oct 29 2013"
!Sample_last_update_date	"Jan 29 2020"	"May 15 2019"	"May 15 2019"	"Jan 29 2020"	"Jan 29 2020"	"Jan 29 2020"	"Jan 29 2020"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"Jan 29 2020"	"Jan 29 2020"	"Jan 29 2020"	"Jan 29 2020"	"Jan 29 2020"	"Jan 29 2020"	"May 15 2019"	"Jan 29 2020"	"Jan 29 2020"	"Jan 29 2020"	"Jan 29 2020"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"May 15 2019"	"Jan 29 2020"	"Jan 29 2020"	"Jan 29 2020"	"Jan 29 2020"
!Sample_type	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"	"SRA"
!Sample_channel_count	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"	"1"
!Sample_source_name_ch1	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"	"CTCs"
!Sample_organism_ch1	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"	"Homo sapiens"
!Sample_characteristics_ch1	"patient: Patient#1"	"patient: Patient#1"	"patient: Patient#2"	"patient: Patient#3"	"patient: Patient#4"	"patient: Patient#5"	"patient: Patient#2"	"patient: Patient#5"	"patient: Patient#6"	"patient: Patient#6"	"patient: Patient#7"	"patient: Patient#7"	"patient: Patient#8"	"patient: Patient#9"	"patient: Patient#9"	"patient: Patient#7"	"patient: Patient#5"	"patient: Patient#4"	"patient: Patient#4"	"patient: Patient#4"	"patient: Patient#4"	"patient: Patient#3"	"patient: Patient#10"	"patient: Patient#10"	"patient: Patient#10"	"patient: Patient#8"	"patient: Patient#8"	"patient: Patient#8"	"patient: Patient#8"
!Sample_characteristics_ch1	"single cells or cluster: CL"	"single cells or cluster: SC"	"single cells or cluster: SC"	"single cells or cluster: SC"	"single cells or cluster: SC"	"single cells or cluster: SC"	"single cells or cluster: CL"	"single cells or cluster: SC"	"single cells or cluster: CL"	"single cells or cluster: SC"	"single cells or cluster: CL"	"single cells or cluster: SC"	"single cells or cluster: SC"	"single cells or cluster: CL"	"single cells or cluster: SC"	"single cells or cluster: SC"	"single cells or cluster: CL"	"single cells or cluster: SC"	"single cells or cluster: CL"	"single cells or cluster: CL"	"single cells or cluster: CL"	"single cells or cluster: CL"	"single cells or cluster: SC"	"single cells or cluster: CL"	"single cells or cluster: CL"	"single cells or cluster: CL"	"single cells or cluster: CL"	"single cells or cluster: SC"	"single cells or cluster: SC"
!Sample_characteristics_ch1	"also known as: Brx53_CL2_010313"	"also known as: Brx53_SC2_010313"	"also known as: BrTr08_1_SC1_012913"	"also known as: Brx12_SC_012913"	"also known as: Brx52_SC2_020413"	"also known as: Brx17_SC1_020713"	"also known as: BrTr08_1_CL2_012913"	"also known as: Brx17_SC2_020713"	"also known as: Brx39_CL_011513"	"also known as: Brx39_SC_011513"	"also known as: Brx66_2_CL2_012913"	"also known as: Brx66_2_SC2_012913"	"also known as: Brx61_1_SC1_032012"	"also known as: Brx11_CL_020413"	"also known as: Brx11_SC_020413"	"also known as: Brx66_2_SC1_012913"	"also known as: Brx17_CL1_020713"	"also known as: Brx52_SC1_020413"	"also known as: Brx52_CL5_020413"	"also known as: Brx52_CL1_020413"	"also known as: Brx52_CL2_020413"	"also known as: Brx12_CL_012913"	"also known as: BrTr11_SC1_022513"	"also known as: BrTr11_CL1_022513"	"also known as: BrTr11_CL2_022513"	"also known as: Brx61_1_CL4_032012"	"also known as: Brx61_1_CL5_032012"	"also known as: Brx61_1_SC2_032012"	"also known as: Brx61_1_SC4_032012"
!Sample_molecule_ch1	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"	"total RNA"
