,Patient.1_CL.1,Patient.1_SC.1,Patient.10_CL.1,Patient.10_CL.2,Patient.10_SC.1,Patient.2_SC.1,Patient.3_CL.1,Patient.3_SC.1,Patient.4_CL.1,Patient.4_CL.2,Patient.4_CL.3,Patient.4_SC.1,Patient.4_SC.1.1,Patient.5_SC.1,Patient.7_CL.1,Patient.7_SC.1,Patient.7_SC.2,Patient.8_CL.1,Patient.8_CL.2,Patient.8_SC.1,Patient.8_SC.2,Patient.8_SC.3,Patient.9_CL.1,Patient.9_SC.1
UBR4,2,10,14,1394,155,9,31,283,1277,2230,18,10,1264,290,84646,8102,48673,6,3166,9789,0,4,14353,4750
MLL,1,1,9,4,189,1,165,21,2,10,164,80903,207,50409,10,7634,1,1,356,43546,0,15,81,6001
C10orf10,5184,33,222,0,0,1,3,0,0,0,452,1,0,442,2,4707,3,1,33,36572,1,1,5312,2576
GFI1B,1,2,2,2,1,3,1,692,0,2,10,2,77,806,1,18788,913,0,100,11998,0,0,7779,13668
CCNG1,438,14,0,0,291,11,1269,327,5,986,1,5,20,3,8,12287,46444,4,258,17193,1,0,11497,7231
TSPAN32,3,0,2,18,52,3,4,137,0,0,0,0,0,46,1042,5199,16970,0,0,1909,0,0,0,1949
IQGAP2,1,7,217,0,1,8,4,3,0,0,1,1,0,792,10,1199,45167,2,31,49492,8,6,7243,2046
SPHK1,0,0,0,0,26,0,4,2,0,0,0,0,0,0,58,1975,43170,2,766,174,0,5,887,3716
PTGIR,1,2,0,0,0,2,2,21,0,0,1,0,0,1,0,3828,2,0,0,17854,0,0,10978,5371
ITGA5,23,0,2,1,0,1,1,1,1,0,86,3,4,30405,2,4464,17352,12988,705,2266,0,0,1,3468
KLF10,2,0,4,0,548,0,3881,75,3,2,392,14,0,32435,0,0,0,0,70,0,2,0,8469,8581
SCGB1D2,5554,146005,2799,0,252,15,207,1712,0,263,7,0,0,0,1,7,10,0,0,0,0,0,0,0
C1orf116,0,0,635,0,202,0,0,158,0,2,13,0,0,3747,1,1879,1,1,0,23762,0,0,0,3349
C21orf58,0,0,2,1,0,2,0,0,0,1,53,0,2,18400,4217,130,27,1,1,3134,0,178,6,3399
MYLK,0,0,0,3,0,3,3,3,0,1,0,5,0,0,287,14724,283,0,29,4586,0,0,1026,4055
RGS18,9,19,3,143,0,23,8,27,1,0,2,9,0,522,22,17478,1645,8,5,24536,4,2,10888,7880
MFAP3L,1,2,0,1,0,8,5,3,0,1,1,8,14,3,8,10721,15082,0,2,13974,0,0,0,22557
HERC2P2,0,0,3,0,28,2,6,12,312,1,423,5,0,9027,13,4736,4075,26,585,13762,6,2,7604,7409
PDLIM1,106,5,3252,4956,961,11,3203,32,1,1,1,0,1,1,6,25986,3266,2,620,4152,3037,0,22495,9966
NT5C3,0,16,479,1046,530,18,19,470,777,1,303,8,658,3,5809,34458,537,0,117,16185,0,1,8563,20167
KIAA0922,3,3,1,0,172,7,6,690,168,215,1,4,0,222,8183,14297,104,0,11,18341,0,0,1865,2241
RAB32,2,0,944,113,205,5,28,209,1,4,86,2,1,26801,4,7911,52443,0,428,435,0,0,6639,2342
SMOX,0,0,7,0,14,1573,1,52,163,0,1,0,1207,0,2,3449,4766,2,220,22920,0,0,4,6881
CENPT,0,2,39,0,95,4,2,3,2,2,2,2,613,1,30526,4070,2465,4508,737,14051,5,2,12469,716
SCGB2A2,7892,6232,19634,693,5604,21,283,1216,0,1764,0,0,0,0,4,6,13,0,0,0,0,0,0,0
HDAC5,1,0,513,6,0,4,50,6,962,1,79,2,888,5546,87,6032,9038,0,23,14931,0,0,4092,5429
UBL4A,0,0,357,0,311,0,599,3,23,0,4,4798,24,0,0,3882,0,788,2632,0,5,1,23341,3052
PSTPIP2,16,4,4,12,9,6,5,6,2,6,3,2,3,211,9,8032,34247,0,126,9978,0,0,10653,18918
HIST1H2BG,0,1,0,0,0,0,19,1,0,2,8,1,0,2026,126,8151,122,0,1,9552,0,1,9,7202
LGALS12,0,0,0,78,0,3,1,1,0,0,3,2,0,1,164,4330,2523,0,64,8,0,0,21415,7030
PIP4K2A,695,9,10,1340,135,4012,5,5445,176,1224,5032,27,10854,5,5,5316,8109,2,362,26056,3,1,18860,18115
HERC1,1,6,19,10,524,4,44,209,317,3,924,23,225,134805,13,12881,252,3,158,52768,2,3,15451,10381
GNA13,1649,9,0,3,4,6,2307,24,143,2,1371,6,0,0,8,6490,17999,3123,1358,37514,2,318,12511,7730
CMIP,0,2,2,46,0,3,2,7,29,0,4,0,0,7,6785,2834,1369,1,2,4648,0,0,1167,1902
TAL1,1,4,7,842,505,321,363,2086,1,4,12,3,2481,6295,19,16604,61,2,166,9102,2,3,26676,16776
PDK1,0,2,0,0,153,4,17,5,2,0,2,8,0,2,0,5772,1386,54,69,28753,0,1,5063,16116
PDLIM7,0,0,201,562,68,9,20,14,1530,0,2675,4,1310,10351,14624,2217,987,1,842,4334,1,3,4334,2168
PRKCB,30,5,1,9,1,593,1,5,0,2,2,2,1,2,9,7891,14,4,2,22093,0,0,14035,9740
SERPINE1,0,0,0,0,0,1,5,0,0,0,6,0,1,3601,68,820,4,0,1,1491,0,0,433,6472
MYCT1,0,1,0,0,0,2,1,4,0,0,0,0,0,0,20369,13,6,1,0,8443,0,0,0,1893
ATF7IP,0,1,0,0,149,2,68,1,80,1,50,3,0,21498,11,12154,3,3,359,10872,0,0,22303,627
PPBP,26278,185,1415,24132,121,134,649,2780,2,15,22,9,0,626,112,38026,449,3993,4163,4432,75,16,17397,28074
SPECC1,2,1,2,170,259,0,26,97,0,0,132,0,66,0,0,4827,9263,0,0,2980,0,0,1753,7599
PRKAR2B,6,8,0,20,163,2580,5,9,13,1,285,6,0,2,6,10124,8063,2,329,22570,4,2,13720,9411
UNC13D,0,0,10,0,18,1,1,2,0,1,7,0,0,1403,20,1322,7991,0,0,737,0,0,2160,1214
FAM110A,1,1,1563,0,183,0,3,417,739,1,7,3,27,0,3,4880,4244,17,1174,25110,2,0,18419,2910
TM4SF1,126,3607,33149,18075,1895,1,5730,190,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0
CCDC19,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,472,30333,2,128,32714,1,1,0,0
WIPI1,0,0,813,5,313,2,4,637,0,1453,1,1,152,0,0,5881,3629,20574,2721,11039,10,17055,343,6094
CTDSPL,29,0,2,62,586,0,0,67,642,3,700,3,5,9178,4,11239,0,7,3430,9724,7,1,2449,7197
TUBA8,1081,8,0,11,0,2,3,0,0,0,0,0,0,0,6,2895,13021,1,113,0,0,0,6713,47
TXNIP,4,103,1728,693,942,9,415,19,331,0,211,20,935,1196,8,17750,42215,0,111,3793,6,0,93210,14974
COL24A1,0,0,1,0,0,0,0,0,0,1,46,1,1,14569,2,1540,0,0,0,57,0,0,288,5569
PLEKHO1,0,1,397,416,0,8,38,2,266,2,4,2,850,800,77,11649,8905,2295,1,7064,0,0,17934,2725
MINK1,37,0,11,378,128,3,175,8,1,15,488,1,15,4781,247,3636,14291,1,554,11379,0,0,5740,7558
KIFC3,0,1,0,3,0,0,1,1,0,0,0,0,0,0,553,1646,5321,0,0,332,0,0,900,119
MUC1,8101,1033,8049,11798,4041,2,1983,15,1,595,0,0,0,0,1,0,3,187,21712,2831,45022,32,0,0
TNFSF4,1,1,0,0,0,1,1,3,1,1,3,3,0,0,1,4853,0,0,0,3797,0,0,21981,2168
LGALSL,0,3,1,0,140,5,711,6,500,0,589,2,1,0,11,19884,27302,0,0,2685,3972,0,1095,1799
C5orf62,6261,47,0,0,6,15,11,652,0,0,3,0,0,9,1,1420,32351,0,0,0,0,0,0,5
SERINC3,0,0,573,0,157,2851,17,617,1094,2560,225,22,646,0,1,5392,0,1,164,9843,3,0,8160,1707
SH2B3,5844,46,0,0,203,15,94,848,0,0,0,0,0,0,1,3049,1,218,129,0,0,3,9887,1304
PABPN1,10,362525,2,835,251,25,102,5,10,0,180,0,80,6859,14,3436,18,3644,1108,222,5,2483,9034,7046
C17orf109,2962,19,376,0,9,2425,692,42,0,0,0,0,590,0,3,438,85659,0,29,0,0,0,5,285
DENND4C,0,5,1,0,288,8,13,6,22,67,0,6,0,0,1188,5111,10,1,18,44055,0,0,3443,1598
MLL3,29,0,2,0,337,1,90,107,1,3014,95,6,20,33359,0,6922,6,2,75,19447,1,1,1388,1411
PHTF2,0,2,0,2,0,1,2,1,0,1,1551,0,1,0,0,4418,0,1,0,12912,0,1,2065,660
FOXJ2,1,0,0,0,257,56,498,433,529,0,0,6,1,0,3,7105,1,1,0,21527,0,0,0,4674
PTCRA,0,1,0,1,2,2,2,10,1,0,0,0,0,2,85,2552,9636,1,62,14814,0,0,24,2319
MGP,5580,49,34169,8012,6990,1,60111,141,102891,3590,46944,355,4427,5,3,4,4,0,0,0,0,0,34,11
MAN2A2,0,1,0,0,535,6,654,1714,2228,1,1,11,1359,1,4,10603,9,13398,1645,4521,1,4,13741,14073
GRAP2,0,0,0,4,0,1,14,212,1,1,2,3,1,22,1,9456,149,0,0,236,125,1,16303,11305
HIST1H1C,1,2,3,487,126,12,128,1622,21,2,122,0,1247,39393,2,6780,1,101,3230,48377,727,22739,5587,10925
SLC40A1,1098,10,0,0,177,5857,2,35,2,0,2,1,0,0,1,4696,209,0,0,4,689,0,11837,207
ZBTB34,1,4,0,0,0,0,32,683,0,0,710,0,0,0,2,2101,2,0,1,16387,1,0,11182,17
C15orf52,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1404,0,0,0,8927,0,0,0,4730
C5orf4,8,3,9,992,0,42,5,163,0,30,2167,5,5308,2,5,11019,28146,0,59,24077,664,2,23445,1512
LXN,0,1,1,0,0,0,2,1,830,2,0,7,0,0,0,735,1543,3,24,22673,1,1,4260,344
SPOCD1,0,0,122,0,1,1,0,0,0,0,0,0,0,0,0,2486,29,0,0,30897,0,0,1911,4
ZNF346,0,5,0,0,0,4,5,1280,155,1832,1,0,347,0,2,3722,25790,799,475,21374,0,0,0,4
MYO9B,0,0,0,11,2,0,183,1,3,0,5,0,0,0,6,891,7719,7,1279,15495,0,1,679,830
JARID2,0,0,0,5,111,0,896,30,196,70,14,0,0,0,0,1201,24,0,1,20751,0,2,6236,2437
F2RL3,0,0,0,0,0,2,0,3,0,0,0,0,0,0,226,1615,0,0,0,8308,0,0,154,312
USP15,3642,25,17,1,317,5118,34,2183,882,1545,2148,7,132,0,4,3468,25136,0,84,4,0,0,13247,25
HIST1H2BJ,1,1,0,0,0,1,1,0,0,2,3,0,0,587,0,3257,1,0,0,6127,0,2,187,3991
OR2B6,0,0,0,0,0,0,0,0,0,0,7,0,0,4352,0,0,0,1,79,4684,0,0,0,1606
TTC18,0,0,0,0,0,0,0,0,11,15,13,273580,616,18,0,0,0,0,0,0,0,0,56,10
KCNA3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,5,7229,1,0,0,25017,0,1,0,331
ZNF175,0,1,3,1,0,0,0,1,0,2,132,4,1,47165,0,254,0,0,0,271,0,0,218,2494
MALAT1,32,210,1237,815,2487,278,4210,2023,6454,10073,2341,52294,4790,49965,148006,69501,144775,15170,5867,101339,47,8976,81370,69607
C20orf112,0,1,649,1,7,0,1,29,1441,1,4180,9,1,1,0,3195,1,0,0,1853,0,0,9646,4275
FRMD4B,1,4,0,1,15,8,8,7,1,0,1,2,0,25,8071,22234,526,0,36,120,0,0,2,11258
CRBN,0,0,0,0,4,0,287,13,233,112,1,6,209,0,0,11259,68,1,3,38786,11,1,1,15185
PKHD1L1,0,0,0,1,0,2,1,2,0,0,5,5,0,543,1601,2233,3,0,1,0,0,0,0,4124
USP42,1,0,1,33,101,5,602,1,3,6,105,13,4,38411,293,2678,4,1,1,18589,0,5,6,8928
MACF1,0,6,687,1,36,6,83,5,214,2050,2584,2,111,980,93111,6980,46,3,571,19839,6,1,0,1048
TBXAS1,0,0,1,296,1,1,1,2,0,0,0,0,0,1,1,4182,0,1,3,25212,1,0,0,5328
RASGRP2,0,0,0,0,0,1,2,0,0,0,0,0,0,18,2646,3508,27,0,0,40,0,0,43,1327
XPNPEP1,1,13,188,22,368,16,17,18,471,181,10,10,1391,4083,86,23813,55967,102,484,20770,8,7,22678,17795
CELF2,0,7,1,0,0,3,1,2,1,0,45,2,1,17624,1,485,20001,0,31,22,1,0,2,9027
EPB49,3320,26,2,433,119,4959,1047,4291,116,683,2111,0,5426,0,4,7726,7,0,120,3440,316,1,5380,3988
M6PR,0,0,0,29,637,4,4,6,1172,989,576,2,30,0,5906,2913,1532,2,401,1333,2,4,6587,3165
NCOA3,0,0,0,0,1,0,0,3,6,4,78,4,183,25099,0,873,10,0,27,13998,1,0,6,2256
ZNF430,1,0,0,1,0,0,7,0,0,0,19,0,2,3048,0,0,159,1,23,0,0,0,7130,2081
PELI2,0,1,0,1,0,0,1,1,2,1,3,5,3,1,0,310,3,3,5,65414,5,0,1856,8759
SOD2,2283,27,2,399,1,29,44,2356,277,163,131,10,17,19201,8,5967,43766,3,544,12,6297,1,5949,2251
BCR,0,0,0,467,60,0,101,2,483,21,2,3,19,215,1102,4533,713,91,773,16352,391,0,17891,1823
ZNF792,1,2,917,0,0,3,3,3,0,0,4,1,1255,1,1,9488,242,0,0,4744,0,0,18311,1390
PTPN18,879,7,1423,222,149,2,3,984,146,1,2,5,0,27,58,17557,2642,63,789,26656,561,1,14088,5304
EIF2B2,0,0,126,38,1020,1,2,0,549,577,14,2,4,3396,2,8340,0,3,1335,3237,0,0,1917,6447
DAPP1,0,3,126,37,164,2,0,0,0,1,0,0,0,1,488,2827,1,0,13,4695,0,0,1293,4004
GATA1,1,0,0,480,465,5,3,60,0,20,14,0,422,2981,1,6173,182,0,0,649,0,0,1851,9276
ARHGAP6,0,0,0,1,0,1,0,0,2,0,1,0,0,0,2840,614,2,1,0,0,0,0,0,3700
C5orf30,0,2,0,0,51,0,2,3,3,9,243,1,0,0,1,3063,0,1,16,12409,3,4,15931,3077
C7orf41,2,2,0,0,35,9,94,9,5,6,9,4,260,62,32,4278,2189,0,2,36208,3,1,13553,6525
TRIM13,0,1,768,859,20,2,27,1,704,2,14,4,25,5391,0,3311,16,0,0,10200,6,1,10420,6271
CETP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,1,0,20171,0,0,0,2217
MBTD1,0,2,2,1,0,1,5,18,1,144,13,3,0,2254,3,2791,2,0,5,4014,1,0,6231,7052
CCM2,0,248,0,0,152,0,12,0,564,12,1067,0,0,0,0,1201,10822,0,169,2490,0,0,3,914
EGFL7,0,0,6,48,15,2,2,0,69,0,1,1,0,51,35,4625,2572,0,106,3963,0,0,3792,1662
MYEOV,0,0,0,0,0,0,0,0,1,0,0,2,1,2,0,116,0,1,411,0,0,0,22834,3496
NFATC1,6,0,0,0,0,1,68,0,1,1,90,4,1,28391,1,5126,78,1,0,0,0,0,0,1649
ZSCAN29,0,1,300,0,3,0,0,1,2,0,1,1,0,1,3085,1315,2,0,99,3,0,0,5023,5133
PADI4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,4536,3524,0,8,484,0,0,224,0
ERICH1,1,2,0,469,52,3,312,169,4,1,0,0,1,306,182,5105,9228,0,0,2279,0,0,129,744
SPARC,4095,35,24,1629,6,10,276,1820,0,15,2,5,3,5,4,5949,4,4,551,10514,76,2,31118,8727
EMR1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,4456,50568,0,0,0,0,0,0,13
YPEL5,0,2,2,697,346,123,2132,531,2215,1,6,10,197,2,8,10083,45,1,771,21075,1,0,13465,8664
RAB27B,0,4,32,126,226,5,6,1,4,88,1,5,3,5,4214,6697,11809,4470,18,402,0,0,859,15638
F13A1,2632,19,93,337,1,1,5,8,0,0,3,2,0,434,172,6571,772,1,91,3046,3,0,462,3903
PLEK,1,4,5,1530,2,2,4,10,2,2,1,4,1,0,14,867,13624,0,2,0,23,0,13569,8321
CHMP6,0,0,0,0,2,1,0,35,0,0,0,0,0,0,17544,2137,22,1,243,354,0,0,4,34
ARID3B,0,0,0,12,2,3,181,0,0,0,0,0,496,0,0,7377,3,2233,233,13804,1,0,6584,12
HIST1H3H,0,0,0,0,0,2,2,0,0,0,3,1,17,154,2,2515,2240,0,0,2014,1,0,1,4470
PTGDR,0,0,0,0,0,1,0,0,0,0,9,1,0,3342,3,4312,0,0,0,0,0,0,0,1501
KCTD10,0,0,141,2032,27,3,4,0,599,4,441,9,1175,1,0,7952,4017,2,297,15387,6,6,1748,7740
MAX,1,1,0,1,0,1,84,8,106,1,13,1,95,2,66,6369,4666,0,22,17233,2,1,4575,4473
N4BP2L1,0,0,0,0,17,0,1,0,0,0,0,0,0,1,1,1633,0,0,1,10318,0,0,4587,6
CBL,0,0,109,2,2,1,3,0,0,0,0,1,0,0,1,1920,2720,0,179,8365,2,1,0,3649
MMD,0,10,4,0,19,9,9,8,137,0,2,6,0,0,11,7427,4578,0,34,8606,1,0,521,4651
C21orf7,7,10,0,0,0,10,116,405,1,4,7,5,1,3,14,13372,7,7,73,35847,5,1,26392,500
FERMT3,0,3,13,80,23,0,0,426,1,0,0,0,0,197,0,1244,5,7,34,10920,2,0,1306,2885
SUSD1,2,4,1,0,0,4,8,3,0,0,84,0,1,23079,4,2616,5,0,1,11141,0,0,1,877
PEAR1,0,4,0,0,170,7,3,5,2,1,5,1,2,50,37,3760,15,0,406,3113,0,0,11106,12673
KRT1,240,0,0,0,0,4779,1858,1258,1,0,2177,1,4902,0,0,1,0,0,0,0,0,0,19,0
CLU,105,8,5354,4394,1737,4,29476,107,1036,9368,12940,6,140,0,69973,15854,47,28,5095,6206,24022,3600,51483,6927
TPTEP1,0,2,429,501,135,5,43,8,0,0,2,0,3,0,3505,924,14361,0,2,1,0,0,2909,2
ARHGEF3,0,0,6,0,0,0,1,0,243,0,2,1,0,0,94,2824,0,0,0,3957,0,1,1177,0
BCOR,0,2,2,0,0,0,1,0,24,2,109,4,125,33363,0,1750,0,1,104,9807,3,0,2,336
EGLN3,0,0,1,2,0,1,828,1,0,0,0,0,0,0,0,12,0,0,0,24078,1,1,2953,448
GATA2,0,0,358,1,91,0,42,4,3,1,258,0,0,4339,1,3411,1568,1,1,10591,0,0,0,26
NRGN,584,3,52,1653,1,7,81,347,1,2,0,0,198,80,503,15317,114,5,1304,435,1414,0,12378,5297
NCOA4,12370,110,83,7510,1188,18378,3517,28054,3811,22541,13545,37,57407,27,39,12490,47897,5,869,5988,361,4,226,9123
PTPLAD2,0,0,4,875,0,0,0,0,0,0,2,1,3,1,0,138,16,0,98,14081,0,0,18247,141
CBFA2T3,0,2,0,1,113,1,113,2,0,846,366,0,0,76,24,5440,10770,0,13,62,0,0,620,11732
ZNF185,1,0,4,1106,62,3,919,7,0,2,3,6,2,2,18,9072,2,0,317,14001,0,0,47135,721
KIFAP3,1337,14,3,0,282,4,3,2,5,1460,142,8,5,47263,5,6462,7,1,527,3411,0,0,2,7349
GTPBP1,0,1,464,311,207,0,598,364,1,0,0,0,0,0,366,1194,326,2,303,13213,0,0,0,0
RGS3,0,1,178,0,0,2,26,1,0,0,36,0,0,0,2,8037,7541,1,253,10149,1,249,2,3417
SLFN14,0,0,0,0,0,0,0,0,0,1,4,0,1,2295,4,121,0,1,0,20296,0,0,20,69
RNF103,0,2,14,2,138,3,12,4,1,0,0,0,0,205,3,19009,108,0,77,15158,0,0,2312,472
CLEC1B,43,4,0,0,0,2,9,8,0,0,1,2,1,0,8,11342,187,0,0,645,0,0,1749,3155
PCSK6,11,0,1,238,2,0,2,1,0,27,1,2,0,1,0,1681,6233,1,1613,60,8,1,8445,5146
PECAM1,1,2,0,0,0,4,2,1,1,0,0,3,1,36,11,5427,1,0,0,2558,0,0,694,12179
CKS1B,7893,50,578,2784,202,1,0,3,0,23,1,21847,63,1,0,0,0,1,480,0,3,6450,0,0
LYN,0,12,1,0,60,9,8,5,1,2,1,2,0,0,7,3438,10,0,112,942,0,0,31168,5932
ITGB3,0,1,0,0,0,1,7,87,0,2,0,0,0,0,1,9552,1,0,0,2889,0,0,0,2456
CCNDBP1,11,1,10,1891,460,30,18,10014,563,3751,6715,16,12692,0,2,1733,3,3,724,22271,6,0,19142,3883
LRIG2,0,0,0,0,0,0,0,0,1,0,1,1,0,38,0,0,0,0,0,0,0,0,6320,3746
ASAP1,12,3,1,0,249,45,18,6,0,0,1,3,419,5,959,10203,77,0,0,1452,0,0,2416,3431
KIF2A,1,3,20,0,110,3,6,7,1,99,0,0,2,80,479,16047,6,1,40,30897,1,1,0,4075
GMFG,1,2,0,2,2,20,3,183,0,1,4,2,0,310,3,2356,3,5,4,20531,2,0,1644,6084
UIMC1,0,1,0,0,5,1,8,1,0,110,96,0,629,11892,0,3027,7985,0,1,80,0,0,0,121
LOC338799,0,0,2,0,0,0,18,2,4,5,57,1,338,11845,0,187,0,2,175,0,1,1,12201,1173
