	BRx-129-2--9-29	BRx-139-1	BRx-170-1	BRx-170-2	BRx-172-1--9-30	BRx-129_2_111814	BRx-136_1_123014	BRx-136_2_123014	BRx-146-1--4-16-15	BRx-16_1_102214	BRx-16_1_120314	BRx-16_2_102214	BRx-16_2_120314	BRx-16_3_120314	BRx-172_1_111114	BRx-172_1_120114	BRx-172-1--4-16-15	BRx-172_2_111114	BRx-172-5--11-11-14	BRx-183_1_031015	BRx-183_2_031015	BRx-183-3--3-10-15	BRx-183_4_031015	BRx-183_5_031015	BRx-183_6_031015	BRx-183-7--3-10-15	BRx-111-1--10-08-15	BRx-111-1--10-19-15	BRx-111-2--10-08-15	BRx-111-3--10-08-15	BRx-131-1--09-15-15	BRx-132-1--06-09-15	BRx-146-1--08-06-15	BRx-16-3--09-09-15	BRx-16-4--09-09-15	BRx-172-1--02-01-15	BRx-172-1--06-25-15	BRx-172-1-08-04-15	BRx-172-1--08-18-15	BRx-172-1--08-25-15	BRx-172-1--09-09-15	BRx-172-2--07-07-15	BRx-172-2--08-25-15	BRx-172-3--07-07-15	BRx-180-1--06-12-15	BRx-180-1--07-02-15	BRx-213-2--08-26-15	BRx-213-3--08-26-15	BRx-245-2--09-04-15	BRx-42-1--10-20	BRx-42-1--9-14	BRx-42-1--9-22	BRx-42-1--9-29	BRx-42-2--9-14	BRx-42-2--9-29	BRx-42-3--9-29	BRx-82-1--9-15	BRx-82-1--9-29	BRx-82-2--9-15	BRx-82-2--9-29	BRx-82-3--9-15	BRx-42_1_110314	BRx-42_2_110314	BRx-82_1_012015	BRx-82_1_030915	BRx-82-1--11-13-14	BRx-82-1--1-12-15	BRx-82_2_030915	BRx-82-2--11-13-14	BRx-82_3_030915	BRx-82_5_030915	BRx-82_6_030915	BRx-82_7_030915	BRx-82-8--3-9-15
ABCA1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	33	1	0	1	0	2	0	0	0	52	3	24	0	0	0	0	0	0	0	0	0	6	0	75	2	0	6	0	70	5
ABCA10	0	0	0	4	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	42	0	0	0	0	0	0	75	0	0	0	0	0	0	0	6	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA11P	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	37	0	6	0	5	0	81	0	0	0	9	0	1	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	3	0	0	29	0	52	27	0	1	1	0	0	0	0	0	3	7	0	5	0	0	16	11	0	0
ABCA12	0	0	0	0	0	0	0	3	0	0	9	0	0	0	0	1	0	0	0	57	1248	207	160	0	752	387	0	0	0	0	48	0	0	17	0	0	0	0	0	0	0	0	0	0	21	0	0	15	1	0	0	0	0	37	197	0	0	35	0	0	0	0	0	0	22	26	0	35	274	92	59	23	116	54
ABCA13	0	0	0	6	0	0	0	5	0	6	6	0	1	0	0	6	0	9	12	0	3	1	9	0	2	3	0	3	0	0	45	29	4	6	8	0	10	10	7	0	4	0	12	0	230	6	26	33	11	0	10	0	0	3	2	2	0	5	4	1	0	4	0	0	1	4	0	0	1	2	26	14	2	1
ABCA17P	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
ABCA2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	0	0	339	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	8	30	26	0	0	0	0	2	0	0	0	0	0	0	0	47	64	0	0	52
ABCA3	0	0	0	68	0	0	0	3	0	46	43	0	0	0	1	185	0	0	71	70	2	21	176	0	326	126	0	209	0	0	1	227	0	0	11	0	0	0	0	12	0	0	0	0	0	0	7	1	0	0	0	44	42	0	39	18	0	68	13	0	27	0	0	108	3	0	0	0	0	298	57	8	67	43
ABCA4	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	0	0	0	1	0	1	0	101	0	2	1	160	0	1	0	2	0	10	10	0	197	6	440	0	131	653	0	0	18	1	13	0	0	9	0	1	8	148	1	1	1	0	16	0	170	1	10	11	7	0	5	1	4	1	0	75	0	2	5	0	2	3	0	0	0	0	535	4	74	1	259	3	21	0
ABCA6	0	0	13	0	0	0	0	0	0	63	0	0	0	0	0	0	0	285	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	10	0	0	1	1	0	0	0	0	0	0	0	0	0	262	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ABCA7	0	0	0	0	0	0	0	13	0	151	0	33	0	5	2	20	0	0	20	46	0	0	37	0	0	0	0	0	0	26	11	0	0	1	1	0	31	0	0	1	842	0	2439	0	0	0	322	155	0	0	0	0	0	0	45	0	4	0	89	0	0	0	0	0	0	0	0	0	0	0	30	54	0	118
ABCA8	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA9	0	2	0	75	0	8	0	6	0	5	3	0	0	0	0	18	0	9	41	0	16	19	1	1	3	14	0	0	0	0	42	0	0	31	25	3	11	24	1	6	42	0	105	2	147	2	9	35	13	0	6	0	4	2	2	6	0	2	11	0	0	0	0	71	9	0	0	0	0	0	19	13	3	0
ABCB1	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	16	233	238	0	7	0	15	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	511	47	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10	0	1	0	1	0	0	0	57	0	76	0	0	0	0	33	10	0	0	31	0	8	0	52	0	11	58	5188	0	0	95	1	0	98	6	0	0	0	0	0	0	0	0	4	0	0	1	17	3	0	0	0	32	50	63	4	14	62	31	48	0	0	0	0	12	0	32	0	6	0	0	0	12	19	0
ABCB11	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB5	0	0	1	7	0	0	0	1	0	2	6	1	0	0	0	2	3	0	0	0	8	8	0	0	0	13	0	0	0	0	28	0	8	19	2	0	2	11	11	2	12	0	8	5	138	3	12	10	3	0	3	0	4	3	1	3	0	1	4	0	0	5	2	2	1	2	0	0	1	2	15	14	1	2
ABCB6	0	0	77	436	0	0	0	12	0	464	17	0	0	1	0	432	0	182	125	0	0	0	24	0	0	169	0	0	0	0	1	0	0	0	0	64	0	0	26	85	621	0	428	0	47	0	35	1	0	0	0	0	59	54	74	64	39	11	512	0	19	0	0	0	0	31	0	1	0	134	121	26	98	0
ABCB7	0	0	0	0	0	1	0	83	0	4	2	0	0	0	0	4	0	0	0	6	597	0	36	0	18	388	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	86	4	46	80	0	0	9	0	0	0	0	0	48	1	0	0	0	0	1	32	259	0
ABCB8	0	0	0	0	0	10	0	33	0	0	0	0	0	0	0	0	0	0	0	0	18	0	5	0	69	78	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	21	0	12	81	0	7	0	0	0	0	0	0	0	191	0	0	0	0	3	0	4	0
ABCB9	0	0	0	0	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	18	0	0	0	0	0	17	0	0	0	0	0	0	0	0	26	0	0	99	55	16	0
ABCC1	0	0	4	57	0	0	0	1	0	324	2	0	0	0	51	286	0	72	129	169	0	0	21	0	544	161	0	0	0	0	92	0	0	1	10	0	0	1	35	25	544	0	221	0	0	0	32	43	41	0	0	0	0	1	3	9	0	6	102	0	0	39	0	8	0	0	0	2	1	0	71	0	0	0
ABCC10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	26	0	0	0	0	10	0	53	12	0	0	0	0	0	0	67	0	75	210	0	30	0	0	0
ABCC11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	15	1507	324	295	299	1648	1546	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	4	0	0	0	0	0	0	65	0	0	138	0	170	5	0	165	257
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	481	21	0	11	0	176	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	19	1	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	0	0	0	0	0	0	0	0	0	1	3	32	0	0	0	1	22	41	0	0	1	0	2	0	0	1	73	1	0	0	1	0	2	1	0	0	0	4	0	0	0	0	1	0	98	0	5	2	1	0	0	0	0	0	0	25	0	2	0	0	10	0	0	203	3	0	0	58	0	0	62	3	0	1
ABCC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	139	0	76	66	56	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	22	0	0	0	7	0	0	0	0	0	0	48	0	0	1	0	0	0	0	0	0
ABCC3	0	0	66	1354	130	2	0	9	0	2630	0	514	202	373	29	2919	283	1125	1097	0	0	0	0	0	0	0	0	0	0	0	24	0	0	859	105	1051	0	0	256	368	108	810	0	356	0	0	812	15	0	0	0	9	0	114	0	48	128	0	3228	0	90	0	68	250	0	0	0	0	0	0	104	34	4	0
ABCC4	0	0	117	40	98	0	65	0	0	1699	37	73	1	303	203	2142	352	2732	928	137	0	0	0	0	0	0	278	0	0	78	0	0	30	239	36	8	0	72	19	202	656	1	92	2118	8	0	456	260	1	0	0	0	0	1	0	142	179	0	1287	0	95	1	127	312	0	0	0	0	0	0	1	0	0	0
ABCC5	0	0	0	0	0	0	0	1	0	600	9	0	0	0	0	312	0	86	218	0	0	0	62	0	1	0	2	0	0	14	1	0	0	0	0	56	0	0	7	88	206	0	133	772	39	1	3	2	0	0	0	0	164	108	303	60	41	0	137	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	36	8	2	0	97	23	0	0	0	0	95	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	6	0	0	49	0	0	0	1	0	0	0	33	289	72	0	33	89	21	0	156
ABCC6P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	3	0	8	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	6	0	0	0	0	0	0
ABCC6P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	13	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	42	0	0	43	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	10	490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0
ABCC9	11	47	0	19	0	27	1	70	12	114	146	5	0	21	2	105	2	93	74	0	82	241	72	1	12	149	56	2	5	11	384	4	44	119	68	5	124	210	73	17	65	4	241	8	1154	45	264	253	96	3	88	6	64	73	30	59	3	46	79	2	3	31	0	2	12	38	32	80	84	27	205	131	80	22
ABCD1	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	1	0	0	27	15	0	0	33	0	20	37	0	0	0	0	2	4	0	0	1	33	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	11	0	10	2	0	2	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	0	0	0	0	0	0	0	792	0	169	1	7	0	1	0	213	0	37	3	24	135	87	96	1	299	490	1	0	0	0	10	153	0	2	1	0	0	2	8	0	0	0	0	0	37	0	15	6	0	0	3	0	87	26	6	111	0	151	66	1	0	2	0	0	168	89	304	281	0	67	314	4	594	0
ABCD4	0	0	0	0	0	7	1	82	0	0	6	0	0	0	0	0	0	1	15	0	199	0	143	0	49	174	0	0	0	0	7	0	0	0	1	0	0	97	0	0	0	1	0	0	8	0	0	0	0	65	0	0	133	0	30	58	0	27	0	0	0	21	0	0	3	0	0	0	0	24	0	0	0	0
ABCE1	0	0	0	0	0	6	0	607	0	0	0	76	0	0	0	0	0	0	0	2	690	4	319	332	1459	667	0	0	0	0	1	122	4	0	0	0	0	120	0	0	0	0	0	0	53	0	1	0	0	0	29	40	348	125	190	161	0	44	21	0	0	0	0	0	0	0	0	88	0	75	434	74	76	0
ABCF1	328	0	0	0	0	0	0	179	0	12	11	55	0	0	0	96	0	4	34	0	6	40	55	1	193	114	0	0	52	48	0	78	7	0	0	0	0	6	0	0	0	0	7	0	1	1	0	9	0	62	6	1	122	24	163	214	17	49	108	0	0	2	0	0	36	340	239	36	0	48	399	478	239	18
ABCF2	0	0	0	0	0	0	0	209	0	1	0	202	0	0	0	0	0	1	0	0	386	37	46	0	0	539	0	0	0	0	2	292	0	5	0	2	1	1	2	0	0	0	17	0	30	1	2	5	1	74	4	0	253	79	54	142	79	1	2	0	33	0	0	0	0	1	75	3	0	24	36	226	136	0
