Gene start (bp),Gene end (bp),Gene % GC content,Gene name,Gene type
141633901,141655244,39.27,AGK,protein_coding
141551278,141655244,39.57,AGK,protein_coding
43865223,43987592,51.65,AGPAT3,protein_coding
6708642,6761503,38.19,AGPAT5,protein_coding
6708642,6761503,38.19,AGPAT5,protein_coding
177392746,177567024,36.60,AGPS,protein_coding
16791811,16833433,38.42,AGR2,protein_coding
85546539,85742029,36.66,AGTPBP1,protein_coding
240868824,240880502,61.77,AGXT,protein_coding
246839098,246931948,38.74,AHCTF1,protein_coding
129225023,129430211,39.97,AHCYL2,protein_coding
27534035,27604431,56.39,AHDC1,protein_coding
62433542,62556235,50.05,AHNAK,protein_coding
104937244,104978374,57.29,AHNAK2,protein_coding
31527900,31528803,52.32,AHSP,protein_coding
131096476,131123152,53.82,AIF1L,protein_coding
130124666,130165879,43.46,AIFM1,protein_coding
20965108,20981360,59.24,AIFM3,protein_coding
143060496,143341058,39.66,AIG1,protein_coding
6393693,6435199,49.33,AIPL1,protein_coding
4709556,4742043,41.46,AK3,protein_coding
65147549,65232145,42.62,AK4,protein_coding
132725578,132878777,47.94,AK8,protein_coding
57085092,57121346,49.96,AKAP1,protein_coding
42272152,42323261,36.45,AKAP11,protein_coding
85380571,85749358,39.92,AKAP13,protein_coding
64465499,64474503,37.55,AKAP5,protein_coding
32329298,32837684,37.92,AKAP6,protein_coding
15353385,15379815,53.24,AKAP8,protein_coding
91940840,92110673,36.73,AKAP9,protein_coding
8911139,8920084,46.42,AKIP1,protein_coding
38991276,39006059,43.80,AKIRIN1,protein_coding
87674860,87702233,40.79,AKIRIN2,protein_coding
134442356,134459284,50.04,AKR1B1,protein_coding
134527567,134541412,45.41,AKR1B10,protein_coding
5035354,5107686,40.40,AKR1C3,protein_coding
4786629,4848062,42.59,AKR1E2,protein_coding
19303965,19312144,52.86,AKR7A2,protein_coding
19282573,19288770,54.24,AKR7A3,protein_coding
40230317,40285536,53.61,AKT2,protein_coding
243488233,243855434,37.28,AKT3,protein_coding
243488233,243851079,37.34,AKT3,protein_coding
113386312,113401290,51.37,ALAD,protein_coding
55009055,55030977,43.13,ALAS2,protein_coding
105366909,105576900,35.29,ALCAM,protein_coding
95605941,95656711,43.15,ALDH18A1,protein_coding
72900671,73080442,36.05,ALDH1A1,protein_coding
38392702,38398661,51.33,ALDH1B1,protein_coding
111766887,111817532,48.79,ALDH2,protein_coding
67662160,67681224,52.58,ALDH3B2,protein_coding
24494867,24537207,43.10,ALDH5A1,protein_coding
74056847,74084492,43.41,ALDH6A1,protein_coding
28573115,28576948,55.56,ALDOC,protein_coding
34022468,34029694,35.91,ALG10,protein_coding
38316762,38329721,33.73,ALG10B,protein_coding
52012391,52079232,41.02,ALG11,protein_coding
94974405,95072951,40.49,ALG14,protein_coding
125928840,125990565,45.07,ALG1L,transcribed_unprocessed_pseudogene
99216425,99221942,42.61,ALG2,protein_coding
63367575,63438553,37.94,ALG6,protein_coding
78095244,78139660,42.08,ALG8,protein_coding
111782195,111871581,40.69,ALG9,protein_coding
77672404,77708023,42.35,ALKBH1,protein_coding
109088188,109093631,51.05,ALKBH2,protein_coding
43880811,43920274,40.80,ALKBH3,protein_coding
73385758,73625166,38.69,ALMS1,protein_coding
6996049,7010754,48.88,ALOX12,protein_coding
6853861,6954107,42.20,ALOX12P2,transcribed_unprocessed_pseudogene
8039034,8049134,55.65,ALOX15B,protein_coding
112285509,112442621,40.45,ALPK1,protein_coding
201700267,201782112,38.18,ALS2,protein_coding
46668995,46693704,57.94,ALS2CL,protein_coding
110874770,110898879,41.39,AMD1,protein_coding
95943331,95968720,43.76,AMDHD1,protein_coding
56361452,56425545,42.21,AMFR,protein_coding
109504178,109509738,53.23,AMIGO1,protein_coding
47075707,47079959,44.65,AMIGO2,protein_coding
110194186,110440318,38.78,AMMECR1,protein_coding
127861630,127885967,45.76,AMMECR1L,protein_coding
31671142,31729121,40.53,AMN1,protein_coding
94706431,94876748,41.79,AMOTL1,protein_coding
134355347,134375479,54.88,AMOTL2,protein_coding
10308313,10507579,44.29,AMPD3,protein_coding
49416778,49422685,54.40,AMT,protein_coding
103617427,103625780,33.55,AMY2A,protein_coding
103553815,103579534,34.92,AMY2B,protein_coding
64966550,64975576,41.33,AMZ2P1,transcribed_unprocessed_pseudogene
81890790,81900991,55.30,ANAPC11,protein_coding
20684177,20698971,43.52,ANG,protein_coding
76786009,76826246,44.47,ANGEL1,protein_coding
8363289,8374370,55.65,ANGPTL4,protein_coding
10092338,10102678,53.47,ANGPTL6,protein_coding
41653220,41896762,49.32,ANK1,protein_coding
60026298,60733490,37.75,ANK3,protein_coding
64911902,64958691,46.76,ANKDD1A,protein_coding
4163821,4263995,44.90,ANKFY1,protein_coding
14704800,14871778,43.86,ANKH,protein_coding
92245974,92401383,36.83,ANKIB1,protein_coding
17281645,17287646,57.78,ANKLE1,protein_coding
132725503,132761832,50.97,ANKLE2,protein_coding
16599779,16645817,38.01,ANKMY2,protein_coding
73552190,73565667,37.11,ANKRA2,protein_coding
9136228,9285985,37.33,ANKRD12,protein_coding
70258999,70354734,37.51,ANKRD13C,protein_coding
73073376,73258798,36.17,ANKRD17,protein_coding
13909574,13980437,37.20,ANKRD20A11P,transcribed_unprocessed_pseudogene
88819896,88851844,37.87,ANKRD22,protein_coding
4183354,4224814,53.60,ANKRD24,protein_coding
26973793,27100494,38.75,ANKRD26,protein_coding
15667236,15859771,37.11,ANKRD28,protein_coding
23598926,23662911,44.28,ANKRD29,protein_coding
37125598,37232567,34.60,ANKRD30A,protein_coding
75068275,75236911,37.35,ANKRD31,protein_coding
145959441,145964575,55.93,ANKRD34A,protein_coding
88765807,88806612,35.08,ANKRD36BP2,transcribed_unprocessed_pseudogene
185396021,185400628,45.33,ANKRD37,protein_coding
173608336,173669851,39.61,ANKRD45,protein_coding
124664048,124712732,35.15,ANKRD50,protein_coding
37830855,37849327,50.74,ANKRD54,protein_coding
56099680,56233330,41.57,ANKRD55,protein_coding
89433152,89633834,43.03,ANKRD6,protein_coding
102501767,102509799,59.94,ANKRD9,protein_coding
34889255,35091406,44.93,ANKS1A,protein_coding
98731329,98796965,46.95,ANKS6,protein_coding
149761100,149968385,36.93,ANKUB1,protein_coding
219229783,219236679,49.05,ANKZF1,protein_coding
36389821,36453791,37.87,ANLN,protein_coding
70078302,70189528,54.71,ANO1,protein_coding
43354859,43691594,40.85,ANO10,protein_coding
26188842,26663289,36.39,ANO3,protein_coding
45215987,45482280,39.39,ANO6,protein_coding
241188509,241225377,58.13,ANO7,protein_coding
17323223,17334855,62.68,ANO8,protein_coding
417933,442011,59.43,ANO9,protein_coding
150218417,150236156,42.62,ANP32E,protein_coding
69013176,69249327,41.88,ANTXR1,protein_coding
79901146,80125454,35.81,ANTXR2,protein_coding
80150889,80205572,50.39,ANXA11,protein_coding
60347134,60402883,44.95,ANXA2,protein_coding
43039233,43043170,51.47,ANXA2R,protein_coding
78551747,78610451,39.90,ANXA3,protein_coding
150982249,150995634,49.76,ANXA9,protein_coding
200586014,200677064,41.53,AOX1,protein_coding
200738608,200794239,43.67,AOX2P,transcribed_unprocessed_pseudogene
16197854,16245906,51.53,AP1M1,protein_coding
101154456,101161596,54.71,AP1S1,protein_coding
940735,1012239,53.71,AP2A2,protein_coding
940735,1019087,53.63,AP2A2,protein_coding
924894,1012245,53.10,AP2A2,protein_coding
35578046,35726413,39.93,AP2B1,protein_coding
78002326,78294698,36.56,AP3B1,protein_coding
82659281,82710112,49.00,AP3B2,protein_coding
2100988,2164468,56.41,AP3D1,protein_coding
74120255,74150842,41.23,AP3M1,protein_coding
42152946,42171673,41.40,AP3M2,protein_coding
113894194,113905201,42.99,AP4B1,protein_coding
50908672,51005895,37.92,AP4E1,protein_coding
57268924,57298742,35.15,AP5M1,protein_coding
3820524,3828838,51.08,AP5S1,protein_coding
4775615,4794397,58.27,AP5Z1,protein_coding
29060035,29259075,48.15,APBA2,protein_coding
28884483,29118315,48.63,APBA2,protein_coding
26438341,26567803,41.53,APBB1IP,protein_coding
40810027,41216714,42.41,APBB2,protein_coding
1446302,1473244,63.50,APC2,protein_coding
20455191,20457772,47.06,APEX1,protein_coding
55000363,55009057,49.09,APEX2,protein_coding
150265399,150269580,53.83,APH1A,protein_coding
35867899,35879792,57.01,APLP1,protein_coding
41053202,41064891,44.90,APOBEC2,protein_coding
38952742,38962839,55.25,APOBEC3A,protein_coding
38952741,38992778,53.24,APOBEC3A,protein_coding
38982347,38992804,53.12,APOBEC3B,protein_coding
39014257,39020352,52.56,APOBEC3C,protein_coding
39040604,39055972,53.18,APOBEC3F,protein_coding
39077067,39087743,54.63,APOBEC3G,protein_coding
116829706,116833072,56.46,APOC3,protein_coding
195568705,195584033,45.96,APOD,protein_coding
36226209,36239954,49.58,APOL2,protein_coding
36140330,36166177,47.21,APOL3,protein_coding
36189124,36204840,49.11,APOL4,protein_coding
35648446,35668404,41.58,APOL6,protein_coding
12725917,12829975,42.82,APOLD1,protein_coding
23833353,23907938,43.27,APOO,protein_coding
60443158,60526242,39.71,APPBP2,protein_coding
57227726,57278105,37.48,APPL1,protein_coding
105173297,105236203,43.64,APPL2,protein_coding
32886601,33025130,42.02,APTX,protein_coding
30911853,30925517,56.37,AQP1,protein_coding
154321090,154325325,52.64,AQP10,protein_coding
33441156,33447596,55.60,AQP3,protein_coding
34851782,34969742,37.52,AQR,protein_coding
72685069,72793599,54.91,ARAP1,protein_coding
142611049,142614479,66.77,ARC,protein_coding
57571363,57598220,41.71,ARF4,protein_coding
49893082,49897054,43.29,ARF6,protein_coding
47164299,47177125,53.19,ARFGAP2,protein_coding
42796502,42858106,45.00,ARFGAP3,protein_coding
48921711,49036693,43.25,ARFGEF2,protein_coding
152779937,152918463,37.33,ARFIP1,protein_coding
106541673,106568137,37.63,ARGLU1,protein_coding
32695437,32720246,37.87,ARHGAP11A,protein_coding
32615144,32639941,37.89,ARHGAP11A,protein_coding
31805398,31928876,36.94,ARHGAP12,protein_coding
24922172,25018449,44.36,ARHGAP17,protein_coding
24919389,25015666,44.36,ARHGAP17,protein_coding
129576132,129710177,38.51,ARHGAP18,protein_coding
97222173,97292673,42.77,ARHGAP19,protein_coding
24583609,24723887,39.03,ARHGAP21,protein_coding
38229196,38313162,55.33,ARHGAP23,protein_coding
38419280,38512385,55.44,ARHGAP23,protein_coding
68679601,68826833,41.83,ARHGAP25,protein_coding
94148988,94275068,38.07,ARHGAP29,protein_coding
161046946,161069970,49.52,ARHGAP30,protein_coding
128965060,129279324,36.86,ARHGAP32,protein_coding
35774532,35788822,60.93,ARHGAP33,protein_coding
46860997,47005077,46.43,ARHGAP35,protein_coding
153907367,153934999,58.14,ARHGAP4,protein_coding
100687288,100993941,38.07,ARHGAP42,protein_coding
32076114,32159728,36.95,ARHGAP5,protein_coding
32074946,32076793,46.00,ARHGAP5-AS1,lncRNA
11117651,11665920,39.23,ARHGAP6,protein_coding
14942031,14961728,41.11,ARHGDIB,protein_coding
156934840,157045742,44.58,ARHGEF11,protein_coding
120336413,120489937,37.52,ARHGEF12,protein_coding
8310241,8322514,55.26,ARHGEF15,protein_coding
73308276,73369388,55.26,ARHGEF17,protein_coding
16197854,16212652,57.34,ARHGEF19,protein_coding
155946851,156007070,50.95,ARHGEF2,protein_coding
56727418,57079329,43.62,ARHGEF3,protein_coding
144186923,144188374,53.99,ARHGEF35,protein_coding
144186083,144195833,45.80,ARHGEF35,protein_coding
130836914,131047263,46.70,ARHGEF4,protein_coding
144450317,144475530,47.93,ARHGEF5,protein_coding
144355288,144380632,48.06,ARHGEF5,protein_coding
136665547,136780932,39.75,ARHGEF6,protein_coding
111114559,111305737,44.55,ARHGEF7,protein_coding
26693236,26782104,46.19,ARID1A,protein_coding
45729706,45908040,36.08,ARID2,protein_coding
925781,975939,58.94,ARID3A,protein_coding
74541206,74598131,46.65,ARID3B,protein_coding
58298504,58373887,37.46,ARID4A,protein_coding
235131634,235328219,39.95,ARID4B,protein_coding
96536743,96552634,55.34,ARID5A,protein_coding
72474330,72602987,38.72,ARIH1,protein_coding
48918821,48986382,44.51,ARIH2,protein_coding
101393116,101407772,39.41,ARL1,protein_coding
81681187,81683797,56.91,ARL16,protein_coding
65014160,65022184,55.28,ARL2,protein_coding
57245259,57253635,44.84,ARL2BP,protein_coding
102673731,102714397,44.56,ARL3,protein_coding
12686856,12690958,42.63,ARL4A,protein_coding
43398993,43401137,55.94,ARL4D,protein_coding
18659431,18681639,37.18,ARL5B,protein_coding
69084937,69106092,42.48,ARL6IP5,protein_coding
5122249,5180911,40.81,ARL8B,protein_coding
65602458,65634217,42.61,ARMC1,protein_coding
103086630,103099764,38.13,ARMC10,protein_coding
103074881,103099759,40.09,ARMC10,protein_coding
22928024,23038523,38.55,ARMC3,protein_coding
31458080,31467166,58.18,ARMC5,protein_coding
19033575,19060311,51.45,ARMC6,protein_coding
231198546,231376848,45.71,ARMC9,protein_coding
101550547,101554700,48.89,ARMCX1,protein_coding
101655281,101659850,51.75,ARMCX2,protein_coding
101622797,101627843,45.41,ARMCX3,protein_coding
102599168,102604159,45.27,ARMCX5,protein_coding
150809713,150876708,41.19,ARNT,protein_coding
80404350,80597933,45.48,ARNT2,protein_coding
13276652,13387266,45.43,ARNTL,protein_coding
99325898,99366262,45.22,ARPC1A,protein_coding
99374249,99394816,55.99,ARPC1B,protein_coding
75260122,75351705,52.02,ARRB1,protein_coding
18001132,18014102,58.01,ARRDC2,protein_coding
97960703,97973833,39.40,ARRDC4,protein_coding
68259182,68422731,45.96,ARSG,protein_coding
113900284,113979727,36.40,ARSJ,protein_coding
3638512,3642316,56.71,ART5,protein_coding
230978981,231000733,41.64,ARV1,protein_coding
18055992,18084998,40.73,ASAH1,protein_coding
130052104,130443674,42.15,ASAP1,protein_coding
9206765,9405683,46.56,ASAP2,protein_coding
23436027,23492032,49.67,ASAP3,protein_coding
23428563,23484568,49.67,ASAP3,protein_coding
238426742,238452250,47.31,ASB1,protein_coding
15281697,15315640,41.56,ASB11,protein_coding
57268342,57292685,38.40,ASB14,protein_coding
44170447,44179084,54.16,ASB16,protein_coding
53532672,53860160,39.55,ASB3,protein_coding
176213673,176277571,36.68,ASB5,protein_coding
48147789,48181213,42.11,ASB8,protein_coding
29788609,29838304,48.94,ASCC2,protein_coding
118894152,118909171,39.18,ASF1A,protein_coding
14119830,14136931,50.78,ASF1B,protein_coding
14119512,14136613,50.78,ASF1B,protein_coding
38105493,38144076,42.86,ASH2L,protein_coding
151048292,151052756,63.56,ASIC3,protein_coding
189661385,189670831,37.75,ASNSD1,protein_coding
26429260,26445015,49.47,ASPHD2,protein_coding
197084121,197146694,34.66,ASPM,protein_coding
69960089,69961631,55.80,ASPRV1,protein_coding
81976807,82017406,60.76,ASPSCR1,protein_coding
130444961,130501274,55.65,ASS1,protein_coding
131013875,131027649,39.70,ASTE1,protein_coding
116423112,117415070,41.84,ASTN2,protein_coding
32358330,32439319,42.17,ASXL1,protein_coding
25733753,25878487,39.52,ASXL2,protein_coding
33578219,33751195,36.19,ASXL3,protein_coding
23748664,23927123,37.99,ATAD2B,protein_coding
3879864,3928082,51.60,ATCAY,protein_coding
121740424,121928492,39.06,ATE1,protein_coding
212565334,212620777,43.16,ATF3,protein_coding
39519695,39522683,58.95,ATF4,protein_coding
53507856,53626410,42.93,ATF7,protein_coding
14365676,14502931,36.09,ATF7IP,protein_coding
10326434,10483638,41.40,ATF7IP2,protein_coding
81972023,82276857,38.03,ATG10,protein_coding
46617527,46674818,44.43,ATG13,protein_coding
72814406,72843674,52.71,ATG16L2,protein_coding
64894546,64917211,60.32,ATG2A,protein_coding
96279195,96363341,37.06,ATG2B,protein_coding
108091668,108154671,39.97,ATG4A,protein_coding
62784132,62865516,35.44,ATG4C,protein_coding
10543895,10553418,55.30,ATG4D,protein_coding
106045423,106325791,39.61,ATG5,protein_coding
11272309,11557665,43.27,ATG7,protein_coding
219219380,219229717,55.52,ATG9A,protein_coding
151012209,151024499,58.12,ATG9B,protein_coding
215311956,215349773,41.05,ATIC,protein_coding
50532509,50634017,37.83,ATL1,protein_coding
63624087,63671921,42.43,ATL3,protein_coding
81035842,81047350,44.63,ATMIN,protein_coding
25677271,25865184,46.51,ATP10A,protein_coding
182793503,182921629,36.02,ATP11B,protein_coding
19645198,19663676,57.96,ATP13A1,protein_coding
193398967,193593111,38.99,ATP13A4,protein_coding
160115759,160143591,50.38,ATP1A2,protein_coding
160151586,160186980,45.76,ATP1A4,protein_coding
169105697,169132722,43.48,ATP1B1,protein_coding
3923870,3964464,56.90,ATP2A3,protein_coding
89588049,89709300,36.37,ATP2B1,protein_coding
130850595,131016712,37.56,ATP2C1,protein_coding
154428633,154436516,56.77,ATP6AP1,protein_coding
138706294,138799560,45.87,ATP6V0A4,protein_coding
113747033,113812056,38.21,ATP6V1A,protein_coding
20197381,20226819,39.50,ATP6V1B2,protein_coding
67294371,67360265,38.54,ATP6V1D,protein_coding
46490750,46542577,44.74,ATP6V1E2,protein_coding
128862856,128865847,52.24,ATP6V1F,protein_coding
77910656,78050395,38.61,ATP7A,protein_coding
51930436,52012125,44.70,ATP7B,protein_coding
42408373,42657105,38.15,ATP8A1,protein_coding
25371974,26025851,41.77,ATP8A2,protein_coding
154325525,154351304,52.39,ATP8B2,protein_coding
1782075,1812276,58.09,ATP8B3,protein_coding
17977409,18039209,49.63,ATPAF2,protein_coding
48446710,48467645,48.87,ATRIP,protein_coding
3471018,3651118,40.35,ATRN,protein_coding
115093365,115948999,35.41,ATRNL1,protein_coding
45671798,45845307,40.57,ATXN10,protein_coding
71808439,71885268,46.33,ATXN1L,protein_coding
92044496,92106621,42.40,ATXN3,protein_coding
44191805,44200113,59.15,ATXN7L3,protein_coding
74537835,74545430,38.67,ATXN7L3B,protein_coding
56369389,56392337,42.93,AURKA,protein_coding
8204733,8210600,52.69,AURKB,protein_coding
33858782,34075155,40.51,AVEN,protein_coding
57797376,57818704,47.57,AVIL,protein_coding
32495426,32588726,40.32,AVL9,protein_coding
97677424,97687241,48.89,AVPI1,protein_coding
63142759,63151201,38.49,AVPR1A,protein_coding
70040542,70049938,47.67,AWAT2,protein_coding
287440,352723,54.38,AXIN1,protein_coding
99966720,99976042,48.33,AZGP1,protein_coding
825097,832018,58.64,AZU1,protein_coding
825097,832018,58.64,AZU1,protein_coding
161083883,161105411,40.34,B3GALNT1,protein_coding
1232237,1235041,64.21,B3GALT6,protein_coding
62196115,62224731,45.39,B3GNT2,protein_coding
17794828,17813576,52.78,B3GNT3,protein_coding
231395710,231401164,62.73,B3GNT7,protein_coding
82942371,83050530,50.18,B3GNTL1,protein_coding
82942155,83051810,50.32,B3GNTL1,protein_coding
57623409,57633239,56.64,B4GALNT1,protein_coding
33104082,33167356,47.10,B4GALT1,protein_coding
43978943,43991170,56.94,B4GALT2,protein_coding
161171310,161177968,52.28,B4GALT3,protein_coding
19334308,19378193,51.57,B9D1,protein_coding
41354417,41364165,52.33,B9D2,protein_coding
103140713,103230305,42.75,BAALC,protein_coding
117285232,117316259,49.53,BACE1,protein_coding
29194071,29630751,39.61,BACH1,protein_coding
89926528,90296908,40.50,BACH2,protein_coding
57172326,57189833,38.77,BAG2,protein_coding
119651380,119677819,49.76,BAG3,protein_coding
103556545,103562657,45.51,BAG5,protein_coding
10413477,10516431,37.59,BAGE2,transcribed_unprocessed_pseudogene
81395457,81466332,63.19,BAHCC1,protein_coding
98291650,98401090,46.78,BAIAP2L1,protein_coding
38084652,38111015,53.76,BAIAP2L2,protein_coding
33572547,33580293,57.18,BAK1,protein_coding
28677510,28682932,46.04,BAMBI,protein_coding
101411286,102074812,36.28,BANK1,protein_coding
52401008,52410008,55.75,BAP1,protein_coding
214725646,214809683,36.37,BARD1,protein_coding
64987945,64997018,53.10,BATF2,protein_coding
34752731,34875647,39.75,BAZ1A,protein_coding
73440406,73522293,43.19,BAZ1B,protein_coding
56595596,56636816,48.64,BAZ2A,protein_coding
159318979,159616569,36.16,BAZ2B,protein_coding
47220822,47232766,59.72,BBC3,protein_coding
66510606,66533613,49.92,BBS1,protein_coding
122732702,122744942,39.69,BBS12,protein_coding
56465640,56582667,43.13,BBS2,protein_coding
72686179,72738475,40.76,BBS4,protein_coding
33109557,33877180,38.88,BBS9,protein_coding
107522936,107811339,36.95,BBX,protein_coding
156641390,156659532,55.82,BCAN,protein_coding
107580906,107618493,36.13,BCAP29,protein_coding
107580246,107629170,37.26,BCAP29,protein_coding
11819829,11828845,45.31,BCAR4,lncRNA
53936777,54070594,40.73,BCAS1,protein_coding
114567557,114581629,40.33,BCAS2,protein_coding
60677453,61392838,39.85,BCAS3,protein_coding
24810024,24949101,40.01,BCAT1,protein_coding
125823546,125853695,42.86,BCCIP,protein_coding
49836043,49843106,45.05,BCDIN3D,protein_coding
80106647,80346270,36.82,BCKDHB,protein_coding
