HGNC approved symbol,HGNC approved name,Function,Modification,Target entity,Product,,,,,,,,,,,
CENPC,centromere protein C,DNA modification,DNA methylation,C,5mC,,,,,,,,,,,
CHAF1A,chromatin assembly factor 1, subunit A (p150),Chromatin remodeling,#,H3, H4,#,,,,,,,,,
CHAF1B,chromatin assembly factor 1, subunit B (p60),Chromatin remodeling,#,H3, H4,#,,,,,,,,,
CHD1,chromodomain helicase DNA binding protein 1,Chromatin remodeling,#,#,#,,,,,,,,,,,
CHD1L,chromodomain helicase DNA binding protein 1-like,Chromatin remodeling,#,#,#,,,,,,,,,,,
CHD2,chromodomain helicase DNA binding protein 2,Chromatin remodeling,#,#,#,,,,,,,,,,,
CHD3,chromodomain helicase DNA binding protein 3,Chromatin remodeling,#,#,#,,,,,,,,,,,
CHD4,chromodomain helicase DNA binding protein 4,Chromatin remodeling,#,#,#,,,,,,,,,,,
CHD5,chromodomain helicase DNA binding protein 5,Chromatin remodeling,#,H3K27me3, H3K4,#,,,,,,,,,,
CHD6,chromodomain helicase DNA binding protein 6,Chromatin remodeling,#,#,#,,,,,,,,,,,
CHD7,chromodomain helicase DNA binding protein 7,Chromatin remodeling,#,#,#,,,,,,,,,,,
CHD8,chromodomain helicase DNA binding protein 8,Chromatin remodeling,#,H1,#,,,,,,,,,,,
CHD9,chromodomain helicase DNA binding protein 9,Chromatin remodeling,#,#,#,,,,,,,,,,,
CHEK1,checkpoint kinase 1,Histone modification write,Histone phosphorylation,H3.1,H3.1ph,,,,,,,,,,,
CHRAC1,chromatin accessibility complex 1,Histone chaperone,#,#,#,,,,,,,,,,,
CHTOP,chromatin target of PRMT1,#,#,#,#,,,,,,,,,,,
CHUK,conserved helix-loop-helix ubiquitous kinase,Histone modification write,Histone phosphorylation,H3,#,,,,,,,,,,,
CIR1,corepressor interacting with RBPJ,1,Histone modification read,#,#,#,,,,,,,,,,
CIT,citron rho-interacting serine/threonine kinase,Histone modification write cofactor, Histone modification write cofactor,Histone methylation, Histone phosphorylation,H3K9,H3K9me,,,,,,,,,
CLNS1A,chloride channel, nucleotide-sensitive, 1A,Histone modification write cofactor,Histone methylation,#,#,,,,,,,,,
CLOCK,clock circadian regulator,Histone modification write,Histone acetylation,H3, H4,#,,,,,,,,,,
CRB2,crumbs family member 2,Histone modification read,#,H4K20,#,,,,,,,,,,,
CREBBP,CREB binding protein,Histone modification write,Histone acetylation,#,#,,,,,,,,,,,
CSNK2A1,casein kinase 2, alpha 1 polypeptide,Histone modification,#,#,#,,,,,,,,,,
CSRP2BP,CSRP2 binding protein,Histone modification write,Histone acetylation,H4,#,,,,,,,,,,,
CTBP1,C-terminal binding protein 1,Chromatin remodeling,#,#,#,,,,,,,,,,,
CTBP2,C-terminal binding protein 2,Histone modification write cofactor,Histone methylation,H3K9,H3K9me, H3K9me2,,,,,,,,,,
CTCF,CCCTC-binding factor (zinc finger protein),Chromatin remodeling, TF,TF activator,DNA motif,#,,,,,,,,,,
CTCFL,CCCTC-binding factor (zinc finger protein)-like,Chromatin remodeling,#,#,#,,,,,,,,,,,
CTR9,CTR9, Paf1/RNA polymerase II complex component,Histone modification cofactor,#,H3K36,#,,,,,,,,,,
CUL1,cullin 1,Chromatin remodeling cofactor,#,H3K9me3, H3K36me3, H1.4K26me3,H3K9, H3K36, H1.4K26,,,,,,,
CUL2,cullin 2,Chromatin remodeling cofactor,#,HP1 (Heterochromatin protein 1),#,,,,,,,,,,,
CUL3,cullin 3,Histone modification write,Histone ubiquitination,MACROH2A,#,,,,,,,,,,,
CUL4A,cullin 4A,Histone modification write,Histone ubiquitination,H3, H4,#,,,,,,,,,,
CUL4B,cullin 4B,Histone modification write,Histone ubiquitination,H3, H4,#,,,,,,,,,,
CUL5,cullin 5,DNA modification cofactor,DNA methylation,#,#,,,,,,,,,,,
CXXC1,CXXC finger protein 1,Chromatin remodeling, TF,#,CG, DNA motif,#,,,,,,,,,
DAPK3,death-associated protein kinase 3,Histone modification write,Histone phosphorylation,H3T11,#,,,,,,,,,,,
DAXX,death-domain associated protein,#,#,H3.3,#,,,,,,,,,,,
DDB1,damage-specific DNA binding protein 1, 127kDa,Histone modification write,Histone ubiquitination,H2A,#,,,,,,,,,,
DDB2,damage-specific DNA binding protein 2, 48kDa,Histone modification write cofactor,Histone ubiquitination,#,#,,,,,,,,,,
DDX21,DEAD (Asp-Glu-Ala-Asp) box helicase 21,RNA modification,#,#,#,,,,,,,,,,,
DDX50,DEAD (Asp-Glu-Ala-Asp) box polypeptide 50,RNA modification,#,#,#,,,,,,,,,,,
DEK,DEK proto-oncogene,Chromatin remodeling,#,H4,#,,,,,,,,,,,
DMAP1,DNA methyltransferase 1 associated protein 1,Chromatin remodeling,#,#,#,,,,,,,,,,,
DNAJC1,DnaJ (Hsp40) homolog, subfamily C, member 1,Histone modification write cofactor, Histone modification erase cofactor,Histone acetylation, Histone deacetylation,#,#,,,,,,,
DNAJC2,DnaJ (Hsp40) homolog, subfamily C, member 2,Histone modification read,#,H2A,#,,,,,,,,,
DND1,DND microRNA-mediated repression inhibitor 1,RNA modification,#,#,#,,,,,,,,,,,
DNMT1,DNA (cytosine-5-)-methyltransferase 1,DNA modification,DNA methylation,dhC,dhU,,,,,,,,,,,
DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha,DNA modification,DNA methylation,dhC,dhU,,,,,,,,,,,
DNMT3B,DNA (cytosine-5-)-methyltransferase 3 beta,DNA modification,DNA methylation,dhC,dhU,,,,,,,,,,,
DNMT3L,DNA (cytosine-5-)-methyltransferase 3-like,Histone modification read,#,H3K4,#,,,,,,,,,,,
DNTTIP2,deoxynucleotidyltransferase, terminal, interacting protein 2,Chromatin remodeling,#,H2A, H2B,#,,,,,,,,
DOT1L,DOT1-like histone H3K79 methyltransferase,Histone modification write,Histone methylation,H3K79,#,,,,,,,,,,,
DPF1,D4, zinc and double PHD fingers family 1,Chromatin remodeling cofactor,#,#,#,,,,,,,,,,
DPF2,D4, zinc and double PHD fingers family 2,Chromatin remodeling,#,#,#,,,,,,,,,,
DPF3,D4, zinc and double PHD fingers, family 3,Chromatin remodeling,#,H3, H4,#,,,,,,,,
DPPA3,developmental pluripotency associated 3,Histone modification read,#,H3K9me2,#,,,,,,,,,,,
DPY30,dpy-30 homolog (C. elegans),Histone modification write cofactor,Histone methylation,#,#,,,,,,,,,,,
DR1,down-regulator of transcription 1, TBP-binding (negative cofactor 2),Histone chaperone,#,#,#,,,,,,,,,,
DTX3L,deltex 3 like, E3 ubiquitin ligase,Histone modification write,Histone ubiquitination,H4K91,#,,,,,,,,,,
DZIP3,DAZ interacting zinc finger protein 3,Histone modification write,Histone ubiquitination,H2AK119,H2AK119ub,,,,,,,,,,,
E2F6,E2F transcription factor 6,TF,TF repressor,DNA motif,#,,,,,,,,,,,
EED,embryonic ectoderm development,Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
EHMT1,euchromatic histone-lysine N-methyltransferase 1,Histone modification write,Histone methylation,H3K9,H3K9me1, H3K9me2,,,,,,,,,,
EHMT2,euchromatic histone-lysine N-methyltransferase 2,Histone modification write,Histone methylation,H3K9,H3K9me1, H3K9me2,,,,,,,,,,
EID1,EP300 interacting inhibitor of differentiation 1,Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,,
EID2,EP300 interacting inhibitor of differentiation 2,Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,,
EID2B,EP300 interacting inhibitor of differentiation 2B,Histone modification erase cofactor,Histone acetylation,#,#,,,,,,,,,,,
ELP2,elongator acetyltransferase complex subunit 2,Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,,
ELP3,elongator acetyltransferase complex subunit 3,Histone modification write,Histone acetylation,H3, H4?,#,,,,,,,,,,
ELP4,elongator acetyltransferase complex subunit 4,Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,,
ELP5,elongator acetyltransferase complex subunit 5,Histone modification write cofactor,Histone acetylation,H3K14, H4K8,#,,,,,,,,,,
ELP6,elongator acetyltransferase complex subunit 6,Histone modification write cofactor,Histone acetylation,#,#,,,,,,,,,,,
ENY2,enhancer of yellow 2 homolog (Drosophila),Histone modification erase cofactor,Histone ubiquitination,#,#,,,,,,,,,,,
EP300,E1A binding protein p300,Histone modification write,Histone acetylation,H2A, H2B, H3, H4,#,,,,,,,,
EP400,E1A binding protein p400,Chromatin remodeling, Histone modification write,Histone acetylation,#,#,,,,,,,,,,
EPC1,enhancer of polycomb homolog 1 (Drosophila),Polycomb group (PcG) protein,#,#,#,,,,,,,,,,,
EPC2,enhancer of polycomb homolog 2 (Drosophila),Chromatin remodeling,#,#,#,,,,,,,,,,,
ERBB4,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4,Histone modification cofactor,#,H3K9me3,#,,,,,,,,,,,
ERCC6,excision repair cross-complementation group 6,Chromatin remodeling,#,#,#,,,,,,,,,,,
EXOSC1,exosome component 1,Scaffold protein, RNA modification,RNA degradation,#,#,,,,,,,,,,
EXOSC2,exosome component 2,Scaffold protein, RNA modification,RNA degradation,#,#,,,,,,,,,,
EXOSC3,exosome component 3,Scaffold protein, RNA modification,RNA degradation,#,#,,,,,,,,,,
EXOSC4,exosome component 4,Scaffold protein, RNA modification,RNA degradation,#,#,,,,,,,,,,
EXOSC5,exosome component 5,Scaffold protein, RNA modification,RNA degradation,#,#,,,,,,,,,,
EXOSC6,exosome component 6,Scaffold protein, RNA modification,RNA degradation,#,#,,,,,,,,,,
EXOSC7,exosome component 7,Scaffold protein, RNA modification,RNA degradation,#,#,,,,,,,,,,
EXOSC8,exosome component 8,Scaffold protein, RNA modification,RNA degradation,#,#,,,,,,,,,,
EXOSC9,exosome component 9,Scaffold protein, RNA modification,RNA degradation,#,#,,,,,,,,,,
EYA1,EYA transcriptional coactivator and phosphatase 1,Histone modification erase,Histone phosphorylation,H2AXT142,#,,,,,,,,,,,
EYA2,EYA transcriptional coactivator and phosphatase 2,Histone modification erase,Histone phosphorylation,H2AXT142,#,,,,,,,,,,,
EYA3,EYA transcriptional coactivator and phosphatase 3,Histone modification erase,Histone phosphorylation,H2AXT142,#,,,,,,,,,,,
EYA4,EYA transcriptional coactivator and phosphatase 4,Histone modification erase,Histone phosphorylation,H2AXY142ph,H2AXY142,,,,,,,,,,,
EZH1,enhancer of zeste 1 polycomb repressive complex 2 subunit,Histone modification write, Polycomb group (PcG) protein,Histone methylation,H3K27,H3K27me1, H3K27me2, H3K27me3,,,,,,,,
EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit,Histone modification write, Polycomb group (PcG) protein,Histone methylation,H3K27,H3K27me1, H3K27me2, H3K27me3,,,,,,,,
FAM175A,family with sequence similarity 175, member A,Scaffold protein,#,#,#,,,,,,,,,,
FAM175B,family with sequence similarity 175, member B,Histone modification erase cofactor,Histone ubiquitination,H2AK63,H2AK63ub,,,,,,,,,,
FBL,fibrillarin,Histone modification write,Histone methylation,H2AQ104,H2AQ104me,,,,,,,,,,,
FBRS,fibrosin,Histone modification,#,#,#,,,,,,,,,,,
FBRSL1,fibrosin-like 1,Histone modification,#,#,#,,,,,,,,,,,
FOXA1,forkhead box A1,Chromatin remodeling, TF,#,DNA motif,#,,,,,,,,,,
FOXO1,forkhead box O1,TF,#,DNA motif, H3, H4,#,,,,,,,,,
FOXP1,forkhead box P1,TF,#,DNA motif,#,,,,,,,,,,,
FOXP2,forkhead box P2,TF,#,DNA motif,#,,,,,,,,,,,
FOXP3,forkhead box P3,TF,#,DNA motif,#,,,,,,,,,,,
FOXP4,forkhead box P4,TF,#,DNA motif,#,,,,,,,,,,,
GADD45A,growth arrest and DNA-damage-inducible, alpha,Chromatin remodeling,#,H2A, H2B, H3, H4,#,,,,,,,
GADD45B,growth arrest and DNA-damage-inducible, beta,Chromatin remodeling,#,H2A, H2B, H3, H4,#,,,,,,,
GADD45G,growth arrest and DNA-damage-inducible, gamma,Chromatin remodeling,#,H2A, H2B, H3, H4,#,,,,,,,
GATAD1,GATA zinc finger domain containing 1,Histone modification read,#,H3K4me3,#,,,,,,,,,,,
GATAD2A,GATA zinc finger domain containing 2A,Histone modification read,#,H2A, H2B, H3, H4,#,,,,,,,,
GATAD2B,GATA zinc finger domain containing 2B,Histone modification read,#,H2A, H2B, H3, H4,#,,,,,,,,
GFI1,growth factor independent 1 transcription repressor,Chromatin remodeling,#,#,#,,,,,,,,,,,
GFI1B,growth factor independent 1B transcription repressor,Histone modification cofactor,#,#,#,,,,,,,,,,,
GLYR1,glyoxylate reductase 1 homolog (Arabidopsis),Histone modification read,#,H3K4me3,#,,,,,,,,,,,
GSE1,Gse1 coiled-coil protein,Histone modification erase,Histone acetylation,#,#,,,,,,,,,,,
GSG2,germ cell associated 2 (haspin),Histone modification write,Histone phosphorylation,H3T3,H3T3ph,,,,,,,,,,,
GTF2I,general transcription factor IIi,TF,#,DNA motif,#,,,,,,,,,,,
GTF3C4,general transcription factor IIIC, polypeptide 4, 90kDa,Histone modification write,Histone acetylation,H3,#,,,,,,,,,
HAT1,histone acetyltransferase 1,Histone modification write,Histone acetylation,H4, H2A,#,,,,,,,,,,
HCFC1,host cell factor C1,Chromatin remodeling,#,#,#,,,,,,,,,,,
HCFC2,host cell factor C2,Histone modification write cofactor, Histone modification write cofactor,Histone methylation, Histone acetylation,H3,#,,,,,,,,,
HDAC1,histone deacetylase 1,Histone modification erase,Histone acetylation,H3, H4,#,,,,,,,,,,
HDAC10,histone deacetylase 10,Histone modification erase,Histone acetylation,H2AKac, H2BKac, H3Kac, H4Kac,H2AK, H2BK, H3K, H4K,,,,,
HDAC11,histone deacetylase 11,Histone modification erase,Histone acetylation,H2AKac, H2BKac, H3Kac, H4Kac,H2AK, H2BK, H3K, H4K,,,,,
HDAC2,histone deacetylase 2,Histone modification erase,Histone acetylation,H2AKac, H2BKac, H3Kac, H4Kac,H2AK, H2BK, H3K, H4K,,,,,
HDAC3,histone deacetylase 3,Histone modification erase,Histone acetylation,H2AKac, H2BKac, H3Kac, H4Kac,H2AK, H2BK, H3K, H4K,,,,,
