Term,Overlap.x,P.value.x,Adjusted.P.value.x,Old.P.value.x,Old.Adjusted.P.value.x,Odds.Ratio.x,Combined.Score.x,Genes.x,Overlap.y,P.value.y,Adjusted.P.value.y,Old.P.value.y,Old.Adjusted.P.value.y,Odds.Ratio.y,Combined.Score.y,Genes.y
Proteins Involved in Neuroblastoma,6/216,9.27456366097201e-05,0.00244511223789262,0,0,9.08847926267281,84.392436576789,CDKN1A;SPARC;SERPINE1;ILK;TGFBI;CLU,1/216,0.0320527344060855,0.0334836600492144,0,0,46.0046511627907,158.273149722992,CCL2
Eosinophil Survival by Cytokine Signaling,3/72,0.00189583813227508,0.0123549001878601,0,0,13.2862876254181,83.2797030961845,LYN;TGFB1;ICAM1,1/72,0.0107615957524882,0.0148130200357778,0,0,140.323943661972,635.916038987997,CCL2
Melanoma,3/72,0.00189583813227508,0.0218671747331404,0,0,13.2862876254181,83.2797030961845,PDGFRA;CDKN1A;CDH1,1/145,0.0215936087756324,0.0242928098725864,0,0,68.9340277777778,264.386667884871,PLAU
Blood coagulation Homo sapiens P00011,2/38,0.00739950571278761,0.0462469107049225,0,0,16.7474747474747,82.1688400298654,SERPINE1;TFPI,1/38,0.00568938773289464,0.00948231288815774,0,0,269.72972972973,1394.2741447062,PLAU
CCKR signaling map ST Homo sapiens P06959,5/165,0.00024647378183054,0.00308092227288175,0,0,9.80753968253968,81.4835399370747,LYN;CDH1;SERPINE1;TCF4;CLU,1/165,0.024547424021947,0.0279369559473935,0,0,60.4664634146341,224.158150565852,PLAU
Proteins Involved in Dilated Cardiomyopathy,5/167,0.000260606024041595,0.00433178859414836,0,0,9.68547912992357,79.9294240501027,TGFB1;CDH1;TPM1;ILK;NEXN,1/167,0.0248424781883714,0.0274204712079194,0,0,59.7319277108434,220.72143485852,CCL2
RANKL regulation of apoptosis and immune response,3/74,0.00205068185407242,0.0182732147918589,0,0,12.9107258938245,79.9120085984779,ADAM9;ICAM1;SNCA,1/74,0.0110594228380556,0.0181866064448026,0,0,136.465753424658,614.706229245501,CCL2
Proteins Involved in Chronic Obstructive Pulmonary Disease,5/170,0.000282949798257022,0.00433733773664971,0,0,9.50793650793651,77.6821333231339,SERPINB1;FUT8;TGFB1;SERPINE1;CTSC,1/170,0.0252849478802057,0.0276480271213464,0,0,58.6627218934911,215.734858585558,CCL2
amb2 Integrin signaling Homo sapiens 5d4f90b6-6188-11e5-8ac5-06603eb7f303,2/40,0.00817421097250093,0.046490824906099,0,0,15.8644338118022,76.2567017103199,LYN;ICAM1,1/40,0.0059882314019792,0.00901093861824211,0,0,255.871794871795,1309.5413986235,PLAU
Proteins Involved in Glomerulonephritis,4/121,0.000769960500484688,0.00720285629485675,0,0,10.5849358974359,75.8852190981411,LYN;TGFB1;SERPINE1;ICAM1,1/121,0.0180411679776536,0.0211081665338547,0,0,82.8208333333333,332.533846973471,CCL2
Proteins with Altered Expression in Cancer-Associated Sustaining of Proliferative Signaling,5/175,0.000323388464117253,0.00480936690225658,0,0,9.22595704948646,74.1458456800533,LYN;PDGFRA;CDKN1A;PECAM1;TCF4,1/175,0.0260220999459419,0.0279319788410569,0,0,56.9626436781609,207.845812845536,PLAU
Alpha-M beta-2 integrin signaling,2/41,0.00857466901915427,0.0451935496538955,0,0,15.4568764568765,73.5583922391537,LYN;ICAM1,1/41,0.00613763080051258,0.0158764156607123,0,0,249.4625,1270.59146099404,PLAU
Proteins Involved in Glioblastoma,5/178,0.000349668370575504,0.00494652816911689,0,0,9.06459308193412,72.1407939686601,PDGFRA;SPARC;TGFB1;CDH1;ILK,1/178,0.0264642127545926,0.0281482990207939,0,0,55.9887005649718,203.348828445737,PLAU
HIF1A in Vasculogenic Mimicry of Cancer,2/42,0.00898378124785379,0.0347372874917013,0,0,15.069696969697,71.0134515924959,SMAD2;TGFB1,1/42,0.00628701524151983,0.0125855500538445,0,0,243.365853658537,1233.6869399593,PLAU
Beta-3 integrin cell surface interactions,2/43,0.00940148598037318,0.0478621104455362,0,0,14.7014042867701,68.6098001803698,PECAM1;TGFBI,1/43,0.00643638472731579,0.0158764156607123,0,0,237.559523809524,1198.67505967293,PLAU
Proteins Involved in Myocardial Ischemia,6/252,0.000214732030996588,0.00433178859414836,0,0,7.74429583005507,65.4092493765865,SMAD2;TGFB1;SERPINE1;PECAM1;TFPI;ICAM1,1/252,0.0373273584359295,0.0382390719072406,0,0,39.3346613545817,129.333497446993,CCL2
Complement and coagulation cascades,3/85,0.00304257303094431,0.0266492379947179,0,0,11.172607879925,64.7458406208639,SERPINE1;TFPI;CLU,1/70,0.0104637089013926,0.0180073129930942,0,0,144.405797101449,658.467662524263,PLAU
Complement and coagulation cascades,3/85,0.00304257303094431,0.0266492379947179,0,0,11.172607879925,64.7458406208639,SERPINE1;TFPI;CLU,1/85,0.0126964037761181,0.0361980438307643,0,0,118.529761904762,517.552677869987,PLAU
Proteins Involved in Endometriosis,6/256,0.000233743219075639,0.00433178859414836,0,0,7.61883870967742,63.7033001021883,CDH3;TGFB1;CDH1;SERPINE1;LCN2;ICAM1,1/256,0.0379122422328197,0.0382390719072406,0,0,38.7098039215686,126.677105782298,CCL2
Proteins with Altered Expression in Melanoma,2/46,0.010705542973315,0.0395491396466416,0,0,13.6969696969697,62.1430643580292,TGFB1;CDH1,1/46,0.00688440344825683,0.0125855500538445,0,0,221.688888888889,1103.67742297314,PLAU
KRAS Signaling Up,5/200,0.000594960540420309,0.00232034610763921,0,0,8.03296703296703,59.6609704498661,TMEM158;CA2;PECAM1;TFPI;GNG11,1/200,0.0297022864925554,0.0297022864925554,0,0,49.7437185929648,174.925340916176,PLAU
Interleukin-4 regulation of apoptosis,6/267,0.000292934548567774,0.00570585555471142,0,0,7.293659621802,59.3380153748299,CDKN1A;CA2;TFPI;ARHGAP25;CTSC;CHST2,1/267,0.039519451132547,0.0443096876334618,0,0,37.0883458646617,119.83104705578,CCL2
Proteoglycans in cancer,5/205,0.000665240887236395,0.0153005404064371,0,0,7.83015873015873,57.2804405112064,SMAD2;CDKN1A;TGFB1;ITGB5;ITGA5,1/205,0.0304372096910159,0.0388862599260917,0,0,48.5122549019608,169.409131892196,PLAU
Melanoma,4/145,0.00150643060437209,0.0111747484416867,0,0,8.77260638297872,57.0045038690651,CDKN1A;TGFB1;CDH1;TCF4,1/145,0.0215936087756324,0.0242928098725864,0,0,68.9340277777778,264.386667884871,PLAU
Eosinophil Survival in Asthma,2/50,0.0125608922452036,0.0433649851322504,0,0,12.5530303030303,54.9467110196934,LYN;TGFB1,1/50,0.00748155237341628,0.0126861105462276,0,0,203.551020408163,996.446357764973,CCL2
Vitamin B12 metabolism WP1533,2/50,0.0125608922452036,0.0495706640391069,0,0,12.5530303030303,54.9467110196934,SERPINE1;ICAM1,1/50,0.00748155237341628,0.0162768805132773,0,0,203.551020408163,996.446357764973,CCL2
Scavenger Receptor OLR1 in Inflammation Related Endothelial Dysfunction,2/51,0.0130451531567722,0.0447703481119992,0,0,12.2962275819419,53.357495224329,SERPINE1;ICAM1,1/51,0.00763080222089554,0.0127543408549254,0,0,199.47,972.528411753474,CCL2
TSH regulation of gene expression,3/97,0.00441219115901112,0.0308853381130779,0,0,9.74042553191489,52.8260665361787,LYST;STX11;ICAM1,1/97,0.0144801405312483,0.0212259397957839,0,0,103.651041666667,438.959796854159,CCL2
Proteins Involved in Multiple Sclerosis,2/54,0.0145460080602241,0.0493373372802924,0,0,11.5850815850816,49.0099772847498,TGFB1;ICAM1,1/54,0.008078462047278,0.0133123952046694,0,0,188.150943396226,906.615436737158,CCL2
DAPK1 human kinase ARCHS4 coexpression,6/299,0.000534030141045295,0.00485204528149726,0,0,6.48651326654189,48.8762554759285,LYN;HHEX;ZEB2;FURIN;TNS3;ICAM1,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,CCL2
Chagas disease,3/102,0.00507662260532069,0.0355363582372448,0,0,9.24615384615385,48.848439339407,SMAD2;TGFB1;SERPINE1,1/104,0.0155196611008772,0.0220856715666329,0,0,96.5728155339806,402.288317326718,CCL2
Chagas disease,3/102,0.00507662260532069,0.0355363582372448,0,0,9.24615384615385,48.848439339407,SMAD2;TGFB1;SERPINE1,1/102,0.0152227298331673,0.0361980438307643,0,0,98.4950495049505,412.198392406259,CCL2
ROCK1 knockdown 156 GSE34769,6/300,0.000543487820899723,0.0391311231047801,0,0,6.4641211323239,48.5940516872336,ITGB5;FHL1;ALDH1A1;LCN2;LRRC32;ICAM1,1/300,0.0443303368659728,0.0443303368659728,0,0,32.9397993311037,102.643248566252,PLAU
ROCK2 knockdown 157 GSE34769,6/300,0.000543487820899723,0.0391311231047801,0,0,6.4641211323239,48.5940516872336,PHTF2;ITGB5;FHL1;ALDH1A1;LRRC32;GNG11,2/300,0.000666082804060468,0.0106573248649675,0,0,132.208053691275,966.982471333147,PLAU;CCL2
Chagas disease,3/104,0.00535835270407723,0.0342934573060943,0,0,9.06214775323686,47.3868648767473,SMAD2;TGFB1;SERPINE1,1/104,0.0155196611008772,0.0220856715666329,0,0,96.5728155339806,402.288317326718,CCL2
Chagas disease,3/104,0.00535835270407723,0.0342934573060943,0,0,9.06214775323686,47.3868648767473,SMAD2;TGFB1;SERPINE1,1/102,0.0152227298331673,0.0361980438307643,0,0,98.4950495049505,412.198392406259,CCL2
Proteins Involved in Obesity,3/106,0.005649328918916,0.024636171225348,0,0,8.88528752800597,45.9921898250362,CDKN1A;TGFB1;SERPINE1,1/106,0.0158165326939135,0.0188830033182437,0,0,94.7238095238095,392.791174820312,CCL2
Proteins Involved in Diabetes Mellitus Type 2,3/115,0.00707524774521804,0.0293117406587605,0,0,8.16758241758242,40.4389487118322,TGFB1;SERPINE1;ICAM1,1/115,0.0171517164979722,0.0202702104066944,0,0,87.2061403508772,354.55025696917,CCL2
Vitamin D Receptor Pathway WP2877,4/182,0.00343356039918066,0.025523080782599,0,0,6.93609550561798,39.3564986038564,CDKN1A;SERPINB1;TGFB1;TPM1,1/182,0.0270534883841025,0.0285608086348859,0,0,54.7403314917127,197.609275118901,CYP27B1
Interleukin-1 regulation of extracellular matrix,3/120,0.0079515021759071,0.0444398751490803,0,0,7.81656804733728,37.788372914242,SRGN;ALDH1A1;ICAM1,1/120,0.0178929633377612,0.0245199867961913,0,0,83.5210084033613,336.034061491762,CCL2
Receptors and Adaptor Proteins Activated in Cancer,3/125,0.00888910104507376,0.0347372874917013,0,0,7.49432534678436,35.3951691714408,LYN;PDGFRA;PECAM1,1/125,0.0186338374756652,0.0215857325213152,0,0,80.133064516129,319.152056732132,PLAU
Allograft Rejection,4/200,0.00479860511898462,0.0133675428314572,0,0,6.29336734693878,33.6029944353692,SRGN;LYN;TGFB1;ICAM1,1/200,0.0297022864925554,0.0297022864925554,0,0,49.7437185929648,174.925340916176,CCL2
Proteins Involved in Atherosclerosis,4/200,0.00479860511898462,0.0222908138558349,0,0,6.29336734693878,33.6029944353692,TGFB1;SERPINE1;PECAM1;ICAM1,2/200,0.000296535132839628,0.00247755582409442,0,0,199.989898989899,1624.58691694667,PLAU;CCL2
TNF-alpha Signaling via NF-kB,4/200,0.00479860511898462,0.0133675428314572,0,0,6.29336734693878,33.6029944353692,CDKN1A;SERPINE1;SLC2A3;ICAM1,2/200,0.000296535132839628,0.0020757459298774,0,0,199.989898989899,1624.58691694667,PLAU;CCL2
Proteins Involved in Alzheimer's Disease,3/130,0.00988894050959867,0.0372440616595275,0,0,7.19745608721987,33.2258919570884,TGFB1;CLU;SNCA,1/130,0.0193743389965825,0.02222350649608,0,0,77.0077519379845,303.703620326663,CCL2
Ectoderm Differentiation WP2858,3/138,0.0116201038947666,0.0493854415527579,0,0,6.76820512820513,30.1524796438622,SOCS2;ABCC4;SNCA,1/138,0.0205583666198837,0.0233365242712193,0,0,72.4817518248175,281.554443438429,CCL2
CSF1R human kinase ARCHS4 coexpression,5/299,0.00349160335736487,0.0191436184076212,0,0,5.30126336248785,29.9913367774618,LYN;TGFB1;TNS3;STX11;ICAM1,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,CCL2
PLK3 human kinase ARCHS4 coexpression,5/299,0.00349160335736487,0.0191436184076212,0,0,5.30126336248785,29.9913367774618,LYN;CDKN1A;TGFB1;STX11;ICAM1,1/299,0.0441847889936254,0.0441847889936254,0,0,33.0520134228188,103.101614109613,CCL2
MicroRNAs in cancer,5/310,0.00406997535418615,0.0309623269868304,0,0,5.1072079104866,28.1106767009118,PDGFRA;CDKN1A;ZEB2;TPM1;ITGA5,1/310,0.0457850030466385,0.047616403168504,0,0,31.8576051779935,98.2424409831854,PLAU
