Term,Overlap,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes
TPO signaling pathway,2/25,0.000682184965402003,0.011650534874822,0,0,59.808095952024,436.013562840355,PRKCB;JAK2
SPATA1,2/25,0.000682184965402003,0.0453653001992332,0,0,59.808095952024,436.013562840355,EP300;TLK1
DYRK1A human kinase ARCHS4 coexpression,8/299,1.329697437117e-08,3.0184131822556e-06,0,0,23.5206932616166,426.564926375867,ATF7IP;KDM3A;PRKCB;KAT6A;USP12;EP300;NAP1L1;STK4
Vitamin D metabolism and pathway Homo sapiens P04396,1/8,0.0123349690429112,0.0246914248055604,0,0,95.0571428571429,417.80627965005,VDR
PRKD2,1/8,0.0123349690429112,0.0277329085781401,0,0,95.0571428571429,417.80627965005,HDAC5
PAK3,1/8,0.0123349690429112,0.0277329085781401,0,0,95.0571428571429,417.80627965005,STK4
DYRK1B,1/8,0.0123349690429112,0.0277329085781401,0,0,95.0571428571429,417.80627965005,HDAC5
CBL mediated ligand-induced downregulation of EGF receptors Homo sapiens h cblPathway,1/8,0.0123349690429112,0.0459902490856293,0,0,95.0571428571429,417.80627965005,PRKCB
g-Secretase mediated ErbB4 Signaling Pathway  Homo sapiens h erbB4pathway,1/8,0.0123349690429112,0.0459902490856293,0,0,95.0571428571429,417.80627965005,PRKCB
SUMOylation as a mechanism to modulate CtBP-dependent gene responses Homo sapiens h ctbp1Pathway,1/8,0.0123349690429112,0.0459902490856293,0,0,95.0571428571429,417.80627965005,CDH1
Stat3 Signaling Pathway Homo sapiens h stat3Pathway,1/8,0.0123349690429112,0.0459902490856293,0,0,95.0571428571429,417.80627965005,JAK2
Import of palmitoyl-CoA into the mitochondrial matrix,1/8,0.0123349690429112,0.0481063792673535,0,0,95.0571428571429,417.80627965005,PRKAB2
Stabilization of mRNA by HuR,1/8,0.0123349690429112,0.0481063792673535,0,0,95.0571428571429,417.80627965005,PRKCD
Vitamin D biosynthesis,1/8,0.0123349690429112,0.0481063792673535,0,0,95.0571428571429,417.80627965005,VDR
Leptin -> NO Production/Vasodilation,1/8,0.0123349690429112,0.0494480776544772,0,0,95.0571428571429,417.80627965005,JAK2
non-Genomic Rapid Actions of Vitamin D in Vitamin D Biology,1/8,0.0123349690429112,0.0494480776544772,0,0,95.0571428571429,417.80627965005,VDR
CXCR4 -> ARRB1 Signaling,1/8,0.0123349690429112,0.0494480776544772,0,0,95.0571428571429,417.80627965005,ARRB1
HGFR -> STAT Signaling,1/8,0.0123349690429112,0.0494480776544772,0,0,95.0571428571429,417.80627965005,JAK2
IL31R -> STAT Signaling,1/8,0.0123349690429112,0.0494480776544772,0,0,95.0571428571429,417.80627965005,JAK2
IL6R -> STAT Signaling,1/8,0.0123349690429112,0.0494480776544772,0,0,95.0571428571429,417.80627965005,JAK2
NOTCH -> EP300/ASCL Signaling,1/8,0.0123349690429112,0.0494480776544772,0,0,95.0571428571429,417.80627965005,EP300
Dentin Formation in Rothmund-Thomson Syndrome,1/8,0.0123349690429112,0.0494480776544772,0,0,95.0571428571429,417.80627965005,EP300
up HS+LS 30min LPS vs ctrl RAW264.7 macrophage (Mouse) [20222745],4/86,9.17488712659463e-06,0.000347833671954007,0,0,35.929539295393,416.748180225575,PRKAB2;PRKCD;TLK1;STK4
Histamine H1 receptor mediated signaling pathway Homo sapiens P04385,2/26,0.000738321015111293,0.00836763817126132,0,0,57.3132183908046,413.293174455873,PRKCB;PRKCD
CARM1 and regulation of the estrogen receptor,2/26,0.000738321015111293,0.011650534874822,0,0,57.3132183908046,413.293174455873,HDAC5;EP300
Role of Calcineurin-dependent NFAT signaling in lymphocytes Homo sapiens 61bdd46d-6195-11e5-8ac5-06603eb7f303,3/53,7.49439113378306e-05,0.00170497398293565,0,0,42.6835714285714,405.441452237765,PRKCB;PRKCD;EP300
Validated transcriptional targets of TAp63 isoforms Homo sapiens 82e8ee19-6196-11e5-8ac5-06603eb7f303,3/53,7.49439113378306e-05,0.00170497398293565,0,0,42.6835714285714,405.441452237765,VDR;PRKCD;EP300
Kit receptor signaling pathway,3/54,7.92692117607805e-05,0.00335377757927612,0,0,41.8445378151261,395.12377503346,PRKCB;EP300;JAK2
Control of Gene Expression by Vitamin D Receptor Homo sapiens h vdrPathway,2/27,0.000796617769218598,0.00814215390058976,0,0,55.0179310344828,392.560397324866,VDR;EP300
RORA activates circadian expression,2/27,0.000796617769218598,0.011650534874822,0,0,55.0179310344828,392.560397324866,CHD9;EP300
Control of gene expression by vitamin D receptor,2/27,0.000796617769218598,0.011650534874822,0,0,55.0179310344828,392.560397324866,VDR;EP300
RORA activates gene expression Homo sapiens R-HSA-1368082,2/27,0.000796617769218598,0.0207120619996835,0,0,55.0179310344828,392.560397324866,CHD9;EP300
Calcineurin-dependent NFAT signaling role in lymphocytes,3/55,8.37545664890234e-05,0.00335377757927612,0,0,41.0377747252747,385.24702916497,PRKCB;PRKCD;EP300
TAp63 pathway,3/55,8.37545664890234e-05,0.00335377757927612,0,0,41.0377747252747,385.24702916497,VDR;PRKCD;EP300
Hepatic Stellate Cells in non-Alcoholic Fatty Liver Disease,3/55,8.37545664890234e-05,0.00546797669792624,0,0,41.0377747252747,385.24702916497,CDH1;EP300;JAK2
up HS+LS 90min LPS vs ctrl RAW264.7 macrophage (Mouse) [20222745],4/92,1.19942645501382e-05,0.000347833671954007,0,0,33.469696969697,379.247880095193,PRKAB2;PRKCD;TLK1;STK4
PRKAA2,2/28,0.000857068831641028,0.00533287273021084,0,0,52.8992042440318,373.573774402989,HDAC5;EP300
Retinoic acid receptors-mediated signaling Homo sapiens 5797691b-6195-11e5-8ac5-06603eb7f303,2/28,0.000857068831641028,0.00779932636793335,0,0,52.8992042440318,373.573774402989,VDR;EP300
IL8- and CXCR1-mediated signaling events Homo sapiens f6a58ef3-6193-11e5-8ac5-06603eb7f303,2/28,0.000857068831641028,0.00779932636793335,0,0,52.8992042440318,373.573774402989,PRKCB;ARRB1
Role of ERBB2 in Signal Transduction and Oncology Homo sapiens h her2Pathway,2/28,0.000857068831641028,0.00814215390058976,0,0,52.8992042440318,373.573774402989,EP300;JAK2
Tertiary Hypothyroidism,2/28,0.000857068831641028,0.0140096064484312,0,0,52.8992042440318,373.573774402989,PRKCB;JAK2
Histone Methylation,2/28,0.000857068831641028,0.0140096064484312,0,0,52.8992042440318,373.573774402989,KDM3A;GFI1B
Central Hypothyroidism,2/28,0.000857068831641028,0.0140096064484312,0,0,52.8992042440318,373.573774402989,PRKCB;JAK2
Horsepox virus HSPV189 (Serine/threonine protein kinase),5/139,2.21613854882257e-06,0.000442730513101811,0,0,28.4658438576349,370.618007427742,PRKCB;PRKCD;EP300;STK4;JAK2
PDGFR-beta pathway WP3972,2/29,0.000919667819371854,0.0084494480904789,0,0,50.9374201787995,356.128872274134,PRKCB;JAK2
Eat me Signal: Apoptotic Cell Induces Phagocytosis,2/29,0.000919667819371854,0.0140096064484312,0,0,50.9374201787995,356.128872274134,PRKCB;PRKCD
IL6 Promotes Inflammation in Muscular Dystrophies,2/29,0.000919667819371854,0.0140096064484312,0,0,50.9374201787995,356.128872274134,PRKCD;JAK2
PTPRC,1/9,0.01386645428907,0.0207996814336051,0,0,83.1708333333333,355.828338741317,JAK2
CDC14B,1/9,0.01386645428907,0.0207996814336051,0,0,83.1708333333333,355.828338741317,CDH1
JAK3,1/9,0.01386645428907,0.0277329085781401,0,0,83.1708333333333,355.828338741317,JAK2
MAP3K7,1/9,0.01386645428907,0.0277329085781401,0,0,83.1708333333333,355.828338741317,HDAC5
NO2-dependent IL 12 Pathway in NK cells Homo sapiens h no2il12Pathway,1/9,0.01386645428907,0.0459902490856293,0,0,83.1708333333333,355.828338741317,JAK2
Role of PPAR-gamma Coactivators in Obesity and Thermogenesis Homo sapiens h ppargPathway,1/9,0.01386645428907,0.0459902490856293,0,0,83.1708333333333,355.828338741317,EP300
Kit receptor signaling pathway WP304,3/59,0.000103349783120368,0.00235873756639094,0,0,38.0988520408163,349.648075939072,PRKCB;EP300;JAK2
Pathways Regulating Hippo Signaling WP4540,4/98,1.54060187419362e-05,0.00109036171522202,0,0,31.3238770685579,347.092122794011,PRKAB2;CDH1;PRKCB;PRKCD
Role of MEF2D in T-cell Apoptosis Homo sapiens h mef2dPathway,2/30,0.000984408363070054,0.00831278173259157,0,0,49.115763546798,340.05150286392,PRKCB;EP300
Retinoic acid receptor-mediated signaling,2/30,0.000984408363070054,0.0132895129014457,0,0,49.115763546798,340.05150286392,VDR;EP300
MicroRNAs in muscle cell differentiation,2/30,0.000984408363070054,0.0132895129014457,0,0,49.115763546798,340.05150286392,PRKCB;PRKCD
Proteins Involved in Breast Cancer Related to NOTCH Signaling Pathway,2/31,0.00105128410716215,0.0141917707846333,0,0,47.4197384066587,325.192374511661,CDH1;EP300
Vitamine D Deficite and Dentin Formation,2/31,0.00105128410716215,0.0141917707846333,0,0,47.4197384066587,325.192374511661,VDR;PRKCD
Hippo/YAP1 Signaling,2/31,0.00105128410716215,0.0141917707846333,0,0,47.4197384066587,325.192374511661,CDH1;STK4
Endothelins Homo sapiens dfb9dc47-6191-11e5-8ac5-06603eb7f303,3/63,0.000125717424491786,0.00219025631164873,0,0,35.5517857142857,319.307433084775,PRKCB;PRKCD;JAK2
Angiotensin II-stimulated signaling through G-proteins and beta-arrestin,3/64,0.000131762041087792,0.00355757510937037,0,0,34.9672131147541,312.415019492367,PRKCB;PRKCD;ARRB1
Endothelins,3/64,0.000131762041087792,0.00355757510937037,0,0,34.9672131147541,312.415019492367,PRKCB;PRKCD;JAK2
Initiation of transcription and translation elongation at the HIV-1 LTR WP3414,2/32,0.00112028870880924,0.00968720236440935,0,0,45.8367816091954,311.422833847125,HDAC5;EP300
Apoptosis Block in Acute Myeloid Leukemia Cell,2/32,0.00112028870880924,0.0146277697121664,0,0,45.8367816091954,311.422833847125,KMT2A;JAK2
STK4,1/10,0.0153956417644848,0.029729515131419,0,0,73.9259259259259,308.542479281304,STK4
Reversal of Insulin Resistance by Leptin Homo sapiens h leptinPathway,1/10,0.0153956417644848,0.0459902490856293,0,0,73.9259259259259,308.542479281304,PRKAB2
Overview of telomerase protein component gene hTert Transcriptional Regulation  Homo sapiens h tertpathway,1/10,0.0153956417644848,0.0459902490856293,0,0,73.9259259259259,308.542479281304,MAX
Oncostatin M Signaling Pathway WP2374,3/65,0.00013799288395421,0.00235873756639094,0,0,34.4014976958525,305.771122307878,PRKCB;PRKCD;JAK2
down HS+LS 3min LPS vs ctrl RAW264.7 macrophage (Mouse) [20222745],3/65,0.00013799288395421,0.00266786242311472,0,0,34.4014976958525,305.771122307878,PRKAB2;PRKCD;TLK1
Proteins Involved in Diabetic Neuropathy,3/65,0.00013799288395421,0.00630627479670738,0,0,34.4014976958525,305.771122307878,VDR;PRKCB;PRKCD
Clear Cell Endometrial Cancer and Papillary Serous Endometrial Cancer,3/65,0.00013799288395421,0.00630627479670738,0,0,34.4014976958525,305.771122307878,CDH1;EP300;JAK2
Banna virus strain JKT-6423 Vp7,4/108,2.26105050803735e-05,0.0018184090641391,0,0,28.2977207977208,302.703434061843,PRKCB;EP300;STK4;JAK2
Signaling events mediated by HDAC Class I Homo sapiens 97e84126-6195-11e5-8ac5-06603eb7f303,3/66,0.000144412504064752,0.00219025631164873,0,0,33.8537414965986,299.363109160574,HDAC5;MAX;EP300
AGE/RAGE pathway WP2324,3/66,0.000144412504064752,0.00235873756639094,0,0,33.8537414965986,299.363109160574,PRKCB;PRKCD;JAK2
Bioactive Peptide Induced Signaling Pathway Homo sapiens h biopeptidesPathway,2/33,0.00119141583912296,0.0090547603773345,0,0,44.3559510567297,298.631448201405,PRKCB;JAK2
GRK3 human kinase ARCHS4 coexpression,7/299,3.00782271883643e-07,2.27591919058624e-05,0,0,19.6545376712329,295.149817609861,MBD5;PRKCB;KAT6A;EP300;ARRB1;STK4;JAK2
RIOK3 human kinase ARCHS4 coexpression,7/299,3.00782271883643e-07,2.27591919058624e-05,0,0,19.6545376712329,295.149817609861,GFI1B;MAX;USP12;UIMC1;TET2;STK4;JAK2
IL8- and CXCR2-mediated signaling events Homo sapiens fe78e284-6193-11e5-8ac5-06603eb7f303,2/34,0.00126465918256527,0.0104621805103127,0,0,42.9676724137931,286.721241951116,PRKCB;ARRB1
Proteins Involved in Acute Myeloid Leukemia,2/34,0.00126465918256527,0.0156202499035765,0,0,42.9676724137931,286.721241951116,KMT2A;JAK2
TSLP Signaling in Bronchial Epithelial Cell in Asthma,2/34,0.00126465918256527,0.0156202499035765,0,0,42.9676724137931,286.721241951116,VDR;JAK2
Human betaherpesvirus 6B Phosphotransferase (gene: U69),9/489,3.62438385133049e-08,9.23855443704143e-05,0,0,16.6099431818182,284.578097438228,PRKAB2;PRKCB;CTR9;UIMC1;PRKCD;EP300;TLK1;STK4;JAK2
Gastrin signaling pathway WP4659,4/114,2.7971628383641e-05,0.00109036171522202,0,0,26.7461279461279,280.414959695159,CDH1;PRKCD;ARRB1;JAK2
Signaling events mediated by HDAC class I,3/70,0.000172029359869951,0.00431302180816807,0,0,31.8262260127932,275.864806706144,HDAC5;MAX;EP300
