Geneid	Br7_7_12
GLS2	7
RBMS2	36
BAZ2A	111
ATP5B	781
SNORD59B	0
SNORD59A	0
PTGES3	41
NACA	380
PRIM1	3
HSD17B6	0
SDR9C7	0
RDH16	37
GPR182	0
HBCBP	0
ZBTB39	0
TAC3	0
MYO1A	0
TMEM194A	0
NAB2	0
STAT6	27
LRP1	4
MIR1228	0
NXPH4	0
SHMT2	0
NDUFA4L2	0
STAC3	0
R3HDM2	11
LOC102724177	0
LOC102724160	0
INHBC	0
INHBE	0
GLI1	0
ARHGAP9	50
MARS	57
MIR6758	1
DDIT3	37
MIR616	0
MBD6	10
DCTN2	242
KIF5A	0
PIP4K2C	33
DTX3	21
ARHGEF25	0
LOC101927583	0
SLC26A10	0
B4GALNT1	0
OS9	267
AGAP2	7
AGAP2-AS1	7
TSPAN31	51
CDK4	34
MIR6759	1
MARCH9	52
CYP27B1	0
METTL1	60
METTL21B	15
TSFM	1
AVIL	1
CTDSP2	96
MIR26A2	0
RP11-620J15.2	0
LOC102724211	0
LOC101927608	0
RP11-620J15.3	0
XRCC6BP1	0
RP11-767I20.1	1
LOC100506869	0
LRIG3	0
SLC16A7	0
LOC100996696	1
FAM19A2	0
LOC102724280	0
USP15	118
MIR6125	0
MON2	3
LOC102724318	0
LOC101927719	0
C12orf61	0
MIRLET7I	0
PPM1H	168
LOC102724337	0
AVPR1A	0
DPY19L2	0
TMEM5	2
SRGAP1	20
C12orf66	0
C12orf56	0
XPOT	38
TBK1	52
RASSF3	93
MIR548Z	0
MIR548C	0
GNS	131
TBC1D30	12
FLJ41278	0
WIF1	0
LEMD3	17
MSRB3	0
RP11-230G5.2	0
RPSAP52	0
HMGA2	0
LOC100129940	12
LOC101927810	0
MIR6074	0
LLPH	44
TMBIM4	373
IRAK3	0
MIR6502	0
HELB	16
GRIP1	4
LOC102724421	0
CAND1	89
LOC102724433	0
RP11-542B15.1	1
DYRK2	0
RP11-43N5.1	0
LOC101927922	0
IFNG-AS1	0
IFNG	0
IL26	0
IL22	0
MDM1	0
LOC100507195	0
RP11-81H14.2	0
RAP1B	52
SNORA70G	0
RP11-637A17.2	0
NUP107	6
SLC35E3	38
LOC100130075	0
MDM2	126
CPM	0
CPSF6	68
MIR1279	0
LYZ	247
YEATS4	67
FRS2	10
MIR3913-1	0
MIR3913-2	0
CCT2	102
LRRC10	0
BEST3	0
RP11-588G21.2	0
RAB3IP	15
MYRFL	0
LOC101928062	0
CNOT2	16
KCNMB4	0
PTPRB	3
PTPRR	0
TSPAN8	0
LGR5	0
ZFC3H1	29
THAP2	0
TMEM19	70
RAB21	19
TBC1D15	72
MRS2P2	0
TPH2	0
TRHDE-AS1	0
TRHDE	0
RP11-314D7.2	0
RP11-81H3.2	0
ATXN7L3B	323
KCNC2	80
LOC101928157	0
CAPS2	0
GLIPR1L1	0
GLIPR1L2	0
GLIPR1	34
KRR1	38
PHLDA1	0
NAP1L1	109
BBS10	0
OSBPL8	230
ZDHHC17	66
CSRP2	0
E2F7	8
NAV3	0
LOC101928207	0
SYT1	261
MIR1252	0
PAWR	520
PPP1R12A	295
LOC101928367	0
OTOGL	10
PTPRQ	0
MYF6	0
MYF5	0
RP11-540D4.3	0
LIN7A	9
MIR617	0
MIR618	0
ACSS3	0
MIR4699	0
PPFIA2	0
LOC102724663	0
RP11-362A1.1	0
CCDC59	27
METTL25	0
TMTC2	10
SLC6A15	0
LOC102724680	0
TSPAN19	0
LRRIQ1	0
ALX1	0
RASSF9	0
LOC102724721	0
NTS	0
MGAT4C	1
LOC102724735	0
MKRN9P	1
C12orf50	0
C12orf29	50
CEP290	0
TMTC3	60
KITLG	24
RP11-13A1.1	0
DUSP6	44
POC1B	57
POC1B-GALNT4	54
GALNT4	64
LOC102724782	0
LOC102724811	0
ATP2B1	52
LINC00936	0
LOC102724834	0
LINC00615	0
CCER1	0
EPYC	0
KERA	0
LUM	0
DCN	0
LOC101928584	21
C12orf79	0
BTG1	570
LOC101928617	0
CLLU1OS	0
CLLU1	0
LOC100507616	0
C12orf74	0
PLEKHG7	0
EEA1	101
RP11-486A14.2	0
LOC102724901	0
LOC102724933	0
NUDT4	13
LOC102724944	0
UBE2N	55
MRPL42	85
SOCS2-AS1	0
SOCS2	0
CRADD	79
RP11-887P2.5	0
PLXNC1	29
CCDC41	7
CCDC41-AS1	0
LOC102724960	0
MIR5700	0
TMCC3	1
MIR7844	0
MIR492	2
KRT19P2	2
NDUFA12	94
NR2C1	38
FGD6	198
VEZT	176
MIR331	2
MIR3685	0
LOC101928779	2
METAP2	80
USP44	0
PGAM1P5	0
NTN4	11
SNRPF	40
CCDC38	0
AMDHD1	0
HAL	0
LOC102723340	0
LTA4H	75
LOC101928830	0
TRNAD12	0
ELK3	2
CDK17	60
C12orf55	0
NEDD1	51
LOC101928912	0
RMST	1
MIR1251	0
MIR135A2	0
LOC643711	0
RNU6-36P	0
MIR4495	0
MIR4303	0
SLC9A7P1	3
LOC643770	0
TRNAD10	0
TRNAW5	0
TMPO-AS1	5
TMPO	57
SLC25A3	893
SNORA53	0
IKBIP	11
APAF1	49
ANKS1B	6
RP11-406H4.1	0
FAM71C	0
UHRF1BP1L	158
GOLGA2P5	0
MIR1827	0
ACTR6	40
DEPDC4	0
SCYL2	20
SLC17A8	0
NR1H4	0
GAS2L3	0
ANO4	0
SLC5A8	0
UTP20	1
ARL1	351
SPIC	0
MYBPC1	0
CHPT1	35
SYCP3	0
LOC101928981	0
GNPTAB	151
LOC101929005	0
DRAM1	61
CCDC53	20
NUP37	4
PARPBP	0
PMCH	0
IGF1	2
LINC00485	0
PAH	0
LOC101929036	0
ASCL1	0
LOC101929058	0
C12orf42	0
RP11-626I20.3	0
STAB2	0
LOC101930305	0
NT5DC3	0
LOC102723501	0
GNN	0
HSP90B1	1502
MIR3652	124
C12orf73	13
TDG	24
GLT8D2	5
HCFC2	12
NFYB	13
TXNRD1	96
EID3	26
CHST11	0
MIR3922	0
SLC41A2	12
C12orf45	36
ALDH1L2	0
KIAA1033	119
APPL2	138
C12orf75	50
CASC18	0
NUAK1	0
CKAP4	475
LOC101929132	0
TCP11L2	51
POLR3B	0
LOC100287944	0
RFX4	0
RP11-482D24.2	0
RIC8B	0
LOC102723527	0
C12orf23	269
MTERFD3	43
CRY1	89
BTBD11	0
PWP1	217
PRDM4	95
RP11-864J10.4	22
ASCL4	0
LOC101929187	9
LOC728739	0
WSCD2	0
CMKLR1	0
LOC102723562	0
FICD	0
SART3	41
ISCU	83
TMEM119	0
SELPLG	0
MIR4496	0
CORO1C	103
SSH1	90
LOC101929204	0
MIR619	0
DAO	0
SVOP	0
USP30	0
USP30-AS1	0
ALKBH2	30
UNG	11
ACACB	0
FOXN4	0
RP11-256L11.1	0
MYO1H	0
KCTD10	181
UBE3B	57
MMAB	140
MVK	50
FAM222A	26
FAM222A-AS1	0
TRPV4	0
MIR4497	0
GLTP	65
TCHP	34
GIT2	12
ANKRD13A	59
C12orf76	28
IFT81	32
ATP2A2	407
ANAPC7	3
ARPC3	238
GPN3	1
FAM216A	0
VPS29	199
RAD9B	9
PPTC7	15
TCTN1	0
HVCN1	0
PPP1CC	171
CCDC63	0
MYL2	0
LOC100131138	0
CUX2	0
MIR6760	0
FAM109A	25
SH2B3	38
ATXN2	99
LOC102723619	0
BRAP	41
ACAD10	21
ALDH2	0
MIR6761	0
MAPKAPK5-AS1	0
MAPKAPK5	1
ADAM1A	0
TMEM116	0
ERP29	265
NAA25	7
MIR3657	0
TRAFD1	125
HECTD4	127
MIR6861	1
RPL6	191
PTPN11	184
MIR1302-1	0
RPH3A	0
OAS1	75
OAS3	61
OAS2	0
LOC100506734	0
DTX1	0
RASAL1	0
CCDC42B	1
DDX54	25
MIR7106	0
RITA1	1
IQCD	6
TPCN1	0
MIR6762	0
SLC8B1	0
PLBD2	6
SDS	0
SDSL	33
LHX5	0
RP11-438N16.1	0
RBM19	3
TBX5	0
TBX5-AS1	0
TBX3	89
LOC102723639	0
LOC101928199	0
LOC101928225	0
MED13L	135
MIR620	0
MIR4472-2	0
LINC00173	20
MAP1LC3B2	35
C12orf49	12
RNFT2	2
HRK	0
FBXW8	29
RP11-231I16.1	0
TESC	13
LOC101928244	0
FBXO21	146
NOS1	0
KSR2	3
RFC5	9
WSB2	66
VSIG10	12
LOC101928274	0
PEBP1	321
TAOK3	113
SUDS3	44
SRRM4	0
LOC102723712	0
HSPB8	0
LINC00934	0
CCDC60	0
TMEM233	0
PRKAB1	0
CIT	0
MIR1178	0
LOC102723723	0
CCDC64	17
RAB35	37
LOC101928498	0
GCN1L1	151
MIR4498	0
RPLP0	963
PXN-AS1	14
PXN	158
RNU4-2	0
SIRT4	0
RNU4-1	0
PLA2G1B	0
MSI1	0
COX6A1	142
TRIAP1	70
GATC	98
SRSF9	105
DYNLL1	66
DYNLL1-AS1	25
COQ5	8
RNF10	106
POP5	62
LOC101928300	0
CABP1	0
MLEC	100
UNC119B	4
MIR4700	0
ACADS	33
SPPL3	70
HNF1A-AS1	0
HNF1A	1
C12orf43	8
OASL	0
P2RX7	47
P2RX4	91
CAMKK2	135
ANAPC5	144
RNF34	15
KDM2B	0
MIR7107	0
LOC101928346	0
ORAI1	28
MORN3	3
TMEM120B	0
RHOF	0
LINC01089	0
SETD1B	7
HPD	0
PSMD9	189
WDR66	0
BCL7A	27
LOC100506691	0
MLXIP	95
LRRC43	0
IL31	0
B3GNT4	0
DIABLO	92
LOC101593348	0
VPS33A	0
CLIP1	753
RP11-450K4.1	3
ZCCHC8	34
RSRC2	99
KNTC1	2
HCAR2	0
HCAR3	0
HCAR1	0
DENR	58
CCDC62	0
HIP1R	227
VPS37B	68
ABCB9	0
OGFOD2	53
ARL6IP4	219
PITPNM2	0
MIR4304	0
RP11-197N18.7	0
MPHOSPH9	0
C12orf65	57
CDK2AP1	204
SBNO1	110
LOC100293704	5
MIR8072	0
SETD8	0
RILPL2	51
SNRNP35	24
LOC102723867	0
RILPL1	15
MIR3908	0
RP11-486O12.2	0
TMED2	525
DDX55	64
EIF2B1	20
GTF2H3	0
TCTN2	28
ATP6V0A2	12
DNAH10	0
CCDC92	27
LOC102723902	59
ZNF664	480
ZNF664-FAM101A	22
FAM101A	0
NCOR2	106
MIR6880	0
LOC101927436	0
SCARB1	1
UBC	2174
MIR5188	0
TRNAA23	0
TRNAD15	0
TRNAF2	0
TRNAD16	0
TRNAA32	0
DHX37	0
BRI3BP	0
AACS	53
TMEM132B	0
LINC00939	0
RP3-446N13.1	0
LOC101927491	0
LOC101927531	0
RP5-944M2.3	0
RP11-407A16.3	0
LINC00944	0
LINC00943	0
RP11-983C2.2	0
RP11-575F12.1	0
RP11-955H22.3	0
RP11-526P6.1	0
FLJ37505	0
LINC00507	0
RP13-653N12.1	0
RP13-653N12.2	0
MIR4419B	0
TMEM132C	0
MIR3612	0
SLC15A4	20
LOC100128276	0
GLT1D1	13
TMEM132D	0
RP11-669N7.2	0
RP11-669N7.3	0
LOC101927710	0
RP11-474D1.3	0
FZD10-AS1	13
FZD10	0
LOC101927786	0
PIWIL1	0
RIMBP2	0
LOC102724010	0
LOC102724399	0
STX2	8
RAN	327
GPR133	0
RP11-638F5.1	0
LOC100128002	0
RP13-507P19.2	0
LOC102724412	0
LOC101929974	0
LOC102724051	0
LOC100996701	0
SFSWAP	97
MMP17	0
ULK1	285
LOC102724075	0
PUS1	0
EP400	36
SNORA49	0
EP400NL	0
DDX51	0
NOC4L	1
LOC100996246	0
GALNT9	0
GALNT9-2	0
LOC100130238	0
RP13-895J2.7	0
LOC101928629	0
MUC8	0
FBRSL1	42
LOC100996573	0
MIR6763	0
LRCOL1	0
P2RX2	0
POLE	29
PXMP2	2
PGAM5	5
ANKLE2	64
LOC101928485	4
GOLGA3	189
CHFR	66
LOC101928530	0
ZNF605	45
ZNF26	10
RP11-386I8.6	0
ZNF84	20
ZNF140	9
ZNF891	0
ZNF10	23
ZNF268	27
ANHX	0
XRCC6BP1-2	0
RP11-620J15.3-2	0
LOC101927531-2	0
SLC5A8-2	0
ANO4-2	0
LOC100288778-2	0
FAM138D-2	0
IQSEC3-2	0
RP11-598F7.4-2	0
TAS2R7-2	0
TAS2R8-2	0
TAS2R9-2	0
TAS2R10-2	0
PRH1-PRR4-2	0
PRR4-2	0
PRH1-2	0
TAS2R13-2	0
PRH2-2	0
TAS2R14-2	0
TAS2R50-2	0
TAS2R20-2	0
TAS2R19-2	0
TAS2R31-2	0
TAS2R46-2	0
TAS2R43-2	0
TAS2R45	0
TAS2R30-2	0
LOC100129361-2	0
LOC101927786-2	0
PIWIL1-2	0
DNAH10-2	0
CCDC92-2	0
OVOS2-2	0
FAM60A-2	0
FLJ13224-2	0
PRB1-2	0
TAS2R7-3	0
TAS2R8-3	0
TAS2R9-3	0
TAS2R10-3	0
PRR4-3	0
PRH1-PRR4-3	0
PRH1-3	0
TAS2R13-3	0
PRH2-3	0
TAS2R14-3	0
TAS2R50-3	0
TAS2R20-3	0
TAS2R19-3	0
TAS2R31-3	0
TAS2R46-3	0
LOC101929789	0
TAS2R43-3	0
TAS2R30-3	0
LOC100129361-3	0
TAS2R42-2	0
PRB3-2	0
PRB4-2	0
PRB1-3	0
FAM230C	0
LOC101060157	0
LOC102724148	0
LINC00417	0
ANKRD20A9P	1
RNU6-55P	0
RNU6-76P	0
LINC00408	0
LINC00442	23
RNU6-52P	0
TUBA3C	0
LOC101928697	0
ANKRD26P3	0
LINC00421	0
TPTE2	1
MPHOSPH8	71
PSPC1	8
ZMYM5	0
LOC102724812	0
ZMYM2	54
GJA3	0
GJB2	0
GJB6	0
CRYL1	53
MIR4499	0
IFT88	1
IL17D	0
N6AMT2	9
XPO4	46
LINC00367	0
LATS2	110
SAP18	54
SKA3	0
MRP63	1
LOC101928764	0
MIPEPP3	0
LINC00539	0
LOC102724879	0
ZDHHC20	17
MICU2	25
RNU6-59P	0
FGF9	0
LINC00424	0
LINC00540	0
BASP1P1	0
SGCG	0
RNU6-58P	0
SACS	0
SACS-AS1	0
LINC00327	0
LOC101928839	0
TNFRSF19	0
MIPEP	0
C1QTNF9B-AS1	0
C1QTNF9B	0
ANKRD20A19P	9
SPATA13	87
MIR2276	0
SPATA13-AS1	0
C1QTNF9	0
PARP4	37
LOC101927375	0
TPTE2P6	0
ATP12A	0
LOC101928867	0
RNF17	0
CENPJ	38
LOC101928898	0
TPTE2P1	1
PABPC3	33
AMER2	0
LOC101928922	0
LOC102723318	0
MTMR6	0
NUPL1	2
ATP8A2	0
RNU6-78P	0
SHISA2	165
RNF6	55
LOC102724232	1
CDK8	1
WASF3	0
GPR12	0
USP12	13
USP12-AS2	0
LOC102723332	0
RPL21	5
SNORD102	0
SNORA27	0
RASL11A	0
GTF3A	77
MTIF3	44
RNU6-63P	0
LNX2	58
POLR1D	50
GSX1	0
PDX1-AS1	0
PDX1	0
ATP5EP2	45
CDX2	0
URAD	0
FLT3	0
PAN3-AS1	0
PAN3	22
RNU6-82P	0
FLT1	0
POMP	113
SLC46A3	0
RNU6-53P	0
MTUS2	0
MTUS2-AS1	0
SLC7A1	18
LOC102724249	4
LOC102723345	0
UBL3	45
LINC00297	0
LINC00572	0
LINC00544	0
LINC00384	0
KATNAL1	6
LOC102723381	0
RNU6-64P	0
LINC00426	0
LOC102723372	0
HMGB1	23
USPL1	9
TRNAN7	0
ALOX5AP	227
LINC00398	0
LINC00545	0
TEX26-AS1	0
MEDAG	0
TEX26	0
LOC102723392	0
HSPH1	40
B3GALTL	2
RXFP2	0
EEF1DP3	2
FRY-AS1	0
FRY	0
ZAR1L	0
BRCA2	0
N4BP2L1	0
N4BP2L2	133
MINOS1P1	0
N4BP2L2-IT2	0
PDS5B	33
LINC00423	0
LOC101927403	0
KL	0
STARD13	12
STARD13-AS	0
LOC102723425	0
LOC102723406	0
RFC3	0
LINC00457	0
NBEA	0
MAB21L1	0
LINC00445	0
DCLK1	17
SOHLH2	0
CCDC169-SOHLH2	0
LOC102723477	0
CCDC169	0
RNU6-71P	1
SPG20	33
SPG20OS	0
CCNA1	0
SERTM1	0
LOC102723490	0
RFXAP	0
SMAD9	0
ALG5	75
EXOSC8	5
SUPT20H	36
CSNK1A1L	2
LINC00547	0
POSTN	0
TRPC4	0
LOC101929077	0
LINC00571	0
UFM1	91
LOC101929121	0
LINC00366	0
FREM2	9
RNU6-56P	0
STOML3	0
PROSER1	17
NHLRC3	0
LHFP	3
COG6	26
MIR4305	0
LINC00332	0
LINC00548	0
LINC00598	0
FOXO1	0
MIR320D1	0
MRPS31	18
SLC25A15	11
TPTE2P5	0
MIR621	0
SUGT1P3	0
ELF1	174
TRNAE20	0
WBP4	84
MIR3168	0
KBTBD6	42
LOC101929140	0
KBTBD7	0
MTRF1	2
NAA16	0
RNU6-57P	0
OR7E37P	0
RGCC	0
VWA8	2
MIR5006	0
VWA8-AS1	0
DGKH	0
AKAP11	11
TNFSF11	85
FAM216B	0
EPSTI1	0
DNAJC15	26
ENOX1	45
CCDC122	0
LACC1	0
LINC00284	32
SMIM2-AS1	0
SMIM2	0
SMIM2-IT1	0
MIR8079	0
SERP2	0
LOC102723579	0
LINC01071	0
TSC22D1	148
TSC22D1-AS1	0
LINC00330	0
TRNAE7	0
NUFIP1	0
GPALPP1	0
LOC101929259	0
GTF2F2	30
RNU6-69P	0
KCTD4	0
TPT1	875
SNORA31	0
TPT1-AS1	1
SLC25A30	0
COG3	18
FAM194B	0
SPERT	0
SIAH3	0
ZC3H13	8
CPB2-AS1	0
CPB2	0
LCP1	223
LRRC63	0
LINC00563	0
KIAA0226L	0
RNU6-68P	0
RP11-189B4.6	0
LOC101929368	0
LRCH1	0
ESD	61
HTR2A	0
HTR2A-AS1	0
SUCLA2	1
LOC101929410	0
NUDT15	0
MED4	33
MED4-AS1	18
ITM2B	629
LINC00441	0
RB1	11
LOC101929434	0
LPAR6	6
RCBTB2	0
LINC00462	0
CYSLTR2	0
FNDC3A	25
MLNR	0
CDADC1	0
LOC102723669	0
CAB39L	0
SETDB2	0
PHF11	18
RCBTB1	0
ARL11	0
EBPL	4
KPNA3	52
CTAGE10P	2
SPRYD7	9
LOC102723679	0
DLEU2	5
MIR3613	0
TRIM13	36
KCNRG	0
MIR16-1	0
MIR15A	0
DLEU1	0
FLJ31945	0
ST13P4	0
DLEU7	0
LOC102723697	0
DLEU7-AS1	0
RNASEH2B-AS1	0
RNASEH2B	46
GUCY1B2	1
LINC00371	0
FAM124A	0
SERPINE3	0
MIR5693	0
INTS6	69
INTS6-AS1	0
MIR4703	0
WDFY2	3
DHRS12	6
LOC102723770	0
LOC101929522	0
LINC00282	0
CCDC70	0
ATP7B	0
ALG11	1
UTP14C	2
LOC100506859	0
NEK5	1
LOC101929657	0
NEK3	0
MRPS31P5	27
TPTE2P2	2
THSD1	0
VPS36	33
CKAP2	11
TPTE2P3	26
HNRNPA1L2	37
SUGT1	94
LECT1	0
MIR759	0
PCDH8	0
OLFM4	0
LOC102723875	0
LINC00558	0
LINC00458	0
MIR1297	0
MIR5007	0
PRR20A	0
PRR20B	0
PRR20C	0
PRR20D	0
PRR20E	0
PCDH17	2
LOC101926897	0
DIAPH3	0
LOC101926912	0
DIAPH3-AS1	0
DIAPH3-AS2	0
TDRD3	0
LINC00378	0
LOC102723910	0
MIR3169	0
PCDH20	0
LOC101926951	0
LINC00358	0
LINC00395	0
OR7E156P	0
LOC647264	0
RNU6-81P	0
LOC102723968	0
LOC101927016	0
MIR548X2	0
MIR4704	0
PCDH9	0
PCDH9-AS2	0
PCDH9-AS3	0
PCDH9-AS4	0
LOC101927072	0
LINC00550	9
KLHL1	0
ATXN8OS	0
LINC00348	0
DACH1	40
MZT1	53
BORA	20
DIS3	30
PIBF1	20
RNU6-79P	0
KLF5	0
RNU6-66P	0
KLF12	0
LOC101927103	0
LOC101927121	0
LINC00381	0
LINC00347	0
CTAGE11P	0
TBC1D4	0
COMMD6	100
UCHL3	84
RP11-173B14.5	9
LMO7	38
C13orf45	0
KCTD12	2
BTF3P11	0
IRG1	0
CLN5	51
FBXL3	33
MYCBP2	24
MYCBP2-AS1	0
SCEL	0
LOC100129307	0
SLAIN1	0
MIR3665	0
EDNRB-AS1	16
EDNRB	0
LINC01069	0
LINC00446	0
RNF219-AS1	0
POU4F1	0
RNF219	0
LINC00331	0
RBM26	23
RBM26-AS1	6
NDFIP2-AS1	0
NDFIP2	9
LOC102724065	0
LOC102724076	0
RP11-501G7.1	0
LINC01080	0
LOC101927216	0
LOC101927238	0
SPRY2	1
LOC102724139	0
RNU6-67P	0
SLITRK1	0
LINC00333	0
LINC00351	0
RNU6-72P	0
SLITRK6	0
MIR4500HG	0
MIR4500	0
SLITRK5	0
LINC00397	0
LINC00433	0
LINC00560	0
LINC00353	0
LINC00559	0
LOC102724086	0
MIR622	24
RP11-158A8.1	0
RNU6-75P	0
LINC00410	14
LINC00380	0
LINC00379	0
MIR17HG	0
MIR17	0
MIR18A	0
MIR19A	0
MIR20A	0
MIR19B1	0
MIR92A1	0
GPC5	0
MIR548AS	0
GPC5-AS1	0
GPC6	0
GPC6-AS2	0
GPC6-AS1	0
DCT	0
LOC102724113	0
TRNAF6	0
TGDS	0
GPR180	17
LOC101927248	0
SOX21	0
SOX21-AS1	0
LOC101927284	0
ABCC4	0
LOC102724149	0
CLDN10	0
CLDN10-AS1	0
DZIP1	0
LOC101927308	0
DNAJC3-AS1	0
DNAJC3	182
UGGT2	49
HS6ST3	0
MIR4501	0
LINC00359	0
OXGR1	0
LOC101927361	0
MBNL2	142
LOC101927385	0
RAP2A	0
IPO5	44
FARP1	56
RNF113B	0
MIR3170	0
STK24	13
SLC15A1	0
DOCK9	26
DOCK9-AS1	0
RNU6-83P	0
DOCK9-AS2	0
UBAC2-AS1	0
UBAC2	2
GPR18	0
GPR183	1
FKSG29	0
MIR623	0
TM9SF2	297
CLYBL	4
MIR4306	0
CLYBL-AS2	0
RP11-279D17.2	0
LOC101927437	0
ZIC5	0
ZIC2	0
LINC00554	0
PCCA	2
PCCA-AS1	0
LOC102724293	0
GGACT	0
TMTC4	9
NALCN-AS1	0
NALCN	0
ITGBL1	3
FGF14	0
MIR2681	0
MIR4705	0
FGF14-IT1	1
FGF14-AS1	0
FGF14-AS2	0
TPP2	1
METTL21C	0
LOC283482	0
CCDC168	0
TEX30	0
KDELC1	0
BIVM	16
BIVM-ERCC5	0
ERCC5	0
METTL21EP	0
SLC10A2	0
DAOA-AS1	0
DAOA	0
LINC00343	0
LINC00344	0
LINC00460	0
EFNB2	1
ARGLU1	77
LINC00551	0
LINC00443	0
FAM155A	0
MIR1267	0
FAM155A-IT1	0
LIG4	0
ABHD13	3
TNFSF13B	4
LOC102724347	0
MYO16	0
MYO16-AS1	0
LOC101927627	0
LINC00676	0
IRS2	56
LOC101927695	0
LOC101927646	0
LOC101927712	0
COL4A1	0
COL4A2	0
LOC102724442	0
MIR8073	0
COL4A2-AS2	0
COL4A2-AS1	0
RAB20	13
CARKD	55
CARS2	13
ING1	16
LINC00346	0
ANKRD10	68
RP11-551M15.1	23
ARHGEF7	12
LOC101060553	0
TEX29	0
LOC102724489	0
LOC102724510	0
RP11-75F3.1	0
SOX1	0
LINC00403	0
LOC100506016	0
LINC01070	0
LOC101928730	0
LINC01043	0
SPACA7	0
TUBGCP3	0
C13orf35	0
ATP11A	0
ATP11A-AS1	0
MCF2L	1
MCF2L-AS1	0
F7	0
F10	0
LOC102724474	0
PROZ	0
PCID2	0
CUL4A	22
MIR8075	0
LAMP1	60
GRTP1	0
LOC101928841	0
ADPRHL1	0
DCUN1D2	9
TMCO3	279
TFDP1	89
ATP4B	0
GRK1	0
GRK1-2	0
LINC00552	0
TMEM255B	0
GAS6-AS1	8
GAS6	68
GAS6-AS2	0
LINC00454	0
LINC00452	0
LINC00565	0
LOC100507747	0
LOC102723545	0
RASA3	0
LOC101929355	0
CDC16	35
MIR548AR	0
MIR4502	0
UPF3A	6
CHAMP1	0
LOC102723647	0
LINC01070-2	0
LOC101928730-2	0
LINC01043-2	0
SPACA7-2	0
TUBGCP3-2	0
ATP8A2-2	0
LINC00417-2	0
ANKRD20A9P-2	0
RNU6-55P-2	0
LOC102725001	0
RNU6-76P-2	0
GRK1-3	0
LINC00552-2	0
OR11H12	0
RP11-536C10.7	3
LOC101929972	0
POTEM	0
LOC100508046	0
FLJ39632	0
BMS1P18	0
LOC440157	0
BMS1P17	0
POTEG	0
LOC102724666	0
OR11H2	0
OR4Q3	0
OR4M1	0
OR4N2	0
OR4K2	0
OR4K5	0
OR4K1	1
OR4K15	0
OR4K14	0
OR4K13	0
OR4L1	0
OR4K17	0
OR4N5	0
OR11G2	0
OR11H6	0
OR11H4	0
TTC5	0
CCNB1IP1	3
SNORD126	0
RPPH1	18
PARP2	67
TEP1	22
KLHL33	0
OSGEP	0
APEX1	140
TMEM55B	73
PNP	0
RNASE10	0
RNASE9	0
RNASE11	0
RNASE12	0
RP11-14J7.6	0
TRNAP1	0
TRNAL1	0
TRNAP2	0
TRNAT2	0
TRNAL15	0
TRNAT20	0
TRNAP17	0
OR6S1	0
TRNAY14	0
TRNAY13	0
TRNAY1	0
TRNAY2	0
TRNAT12	0
TRNAY3	0
TRNAP7	0
ANG	11
RNASE4	114
EDDM3A	0
EDDM3B	0
RNASE6	0
RNASE1	0
LOC100507513	0
RNASE3	11
ECRP	0
RNASE2	0
METTL17	26
RP11-84C10.4	9
SLC39A2	0
NDRG2	15
MIR6717	1
TPPP2	0
RNASE13	0
RNASE7	0
RNASE8	0
ARHGEF40	8
ZNF219	35
TMEM253	0
OR5AU1	0
LINC00641	20
HNRNPC	59
RPGRIP1	0
SUPT16H	156
CHD8	66
SNORD9	0
SNORD8	0
RAB2B	42
TOX4	75
METTL3	22
SALL2	0
OR10G3	0
OR10G2	0
OR4E2	0
LOC101929755	0
LOC102724753	0
DAD1	111
ABHD4	51
OXA1L	62
SLC7A7	0
MRPL52	57
MMP14	26
LRP10	128
REM2	0
RBM23	54
PRMT5	47
RP11-298I3.1	0
TRNAR21	0
HAUS4	0
MIR4707	0
AJUBA	3
LOC102724795	0
C14orf93	0
PSMB5	217
PSMB11	0
CDH24	0
LOC102723563	2
ACIN1	66
C14orf119	89
LOC100128908	0
CEBPE	12
SLC7A8	84
C14orf164	0
HOMEZ	0
PPP1R3E	37
BCL2L2	46
BCL2L2-PABPN1	49
PABPN1	36
SLC22A17	46
EFS	0
IL25	0
CMTM5	0
MYH6	0
MIR208A	0
MYH7	0
MIR208B	0
NGDN	122
THTPA	8
ZFHX2	1
AP1G2	216
LOC102724814	112
JPH4	2
LOC102724824	0
DHRS2	0
LOC102724845	0
DHRS4-AS1	14
DHRS4	26
DHRS4L2	2
DHRS4L1	1
LOC101927011	0
LRRC16B	0
CPNE6	0
NRL	2
PCK2	3
DCAF11	7
FITM1	0
PSME1	650
EMC9	121
PSME2	383
MIR7703	11
RNF31	27
IRF9	45
REC8	19
IPO4	50
TM9SF1	175
TSSK4	5
CHMP4A	31
NEDD8-MDP1	52
MDP1	34
NEDD8	95
GMPR2	23
TINF2	3
TGM1	0
RABGGTA	21
DHRS1	36
NOP9	30
CIDEB	13
LTB4R2	1
LTB4R	29
ADCY4	3
RIPK3	0
NFATC4	0
NYNRIN	0
CBLN3	0
KHNYN	108
SDR39U1	85
LOC101927045	0
CMA1	0
CTSG	0
GZMH	0
GZMB	0
STXBP6	0
NOVA1	7
RP11-626P14.1	0
LOC102724890	0
RP11-384J4.1	0
MIR4307	0
LOC728755	0
LINC00645	0
FOXG1	0
C14orf23	0
LOC102724917	0
LOC102724934	0
PRKD1	0
G2E3	21
SCFD1	148
COCH	3
RP11-829H16.3	0
STRN3	51
MIR624	0
AP4S1	3
HECTD1	160
